# Time-averaged data for fix myat3
# TimeStep v_Etot
0 -10.5251
200 -6.37448
400 -5.0259
600 -5.25908
800 -4.53277
1000 -4.60409
1200 -4.40711
1400 -4.13627
1600 -4.49241
1800 -4.29539
2000 -5.18113
2200 -4.72988
2400 -5.06188
2600 -4.65712
2800 -4.76766
3000 -4.7924
3200 -5.03845
3400 -5.05412
3600 -4.57276
3800 -4.22886
4000 -4.38865
4200 -4.77047
4400 -4.80513
4600 -4.38841
4800 -4.68981
5000 -4.81724
5200 -4.61802
5400 -5.057
5600 -4.94981
5800 -4.48728
6000 -4.59115
6200 -4.25004
6400 -4.29693
6600 -4.42258
6800 -4.6316
7000 -4.62586
7200 -4.39187
7400 -4.31676
7600 -5.0038
7800 -4.55528
8000 -4.7392
8200 -4.92823
8400 -4.69081
8600 -4.84816
8800 -4.50809
9000 -4.71239
9200 -5.26492
9400 -5.68742
9600 -4.58424
9800 -4.94867
10000 -4.66776
10200 -4.50048
10400 -5.10369
10600 -4.20082
10800 -4.44241
11000 -4.55352
11200 -4.60241
11400 -4.88553
11600 -4.60536
11800 -5.37049
12000 -4.44303
12200 -4.43837
12400 -4.76216
12600 -3.93724
12800 -4.07642
13000 -5.13669
13200 -5.09944
13400 -5.00354
13600 -4.50833
13800 -4.73066
14000 -4.95478
14200 -4.96473
14400 -5.02116
14600 -5.33718
14800 -5.2053
15000 -5.25446
15200 -5.08478
15400 -4.81372
15600 -5.037
15800 -5.18367
16000 -5.22592
16200 -4.61293
16400 -4.36212
16600 -4.44571
16800 -4.54242
17000 -3.99588
17200 -4.73693
17400 -4.67814
17600 -4.6173
17800 -5.1288
18000 -4.63222
18200 -4.85772
18400 -4.68234
18600 -5.31331
18800 -4.60526
19000 -4.15287
19200 -4.46299
19400 -4.3997
19600 -4.58826
19800 -4.78371
20000 -4.8547
