# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -25.2252
200 -20.2944
400 -18.5471
600 -20.1209
800 -18.7351
1000 -18.9932
1200 -19.782
1400 -20.8428
1600 -19.8765
1800 -18.0668
2000 -18.8442
2200 -20.9863
2400 -20.1196
2600 -18.255
2800 -19.9942
3000 -19.0679
3200 -19.8273
3400 -19.9831
3600 -18.7116
3800 -19.2817
4000 -19.6101
4200 -18.3071
4400 -19.4523
4600 -20.8933
4800 -19.3
5000 -19.3044
5200 -20.2275
5400 -19.1291
5600 -20.6791
5800 -19.5709
6000 -19.3823
6200 -19.7902
6400 -20.3571
6600 -17.9322
6800 -16.8698
7000 -19.7439
7200 -18.9253
7400 -19.8384
7600 -19.464
7800 -18.9176
8000 -19.666
8200 -20.1349
8400 -20.4057
8600 -19.6653
8800 -19.0707
9000 -20.441
9200 -18.9367
9400 -20.1366
9600 -19.7818
9800 -18.5602
10000 -18.9559
10200 -17.8749
10400 -20.8316
10600 -17.5123
10800 -20.0556
11000 -19.7842
11200 -18.5282
11400 -20.7769
11600 -18.2614
11800 -20.7945
12000 -19.9882
12200 -18.718
12400 -19.6001
12600 -17.7543
12800 -18.6514
13000 -21.6491
13200 -19.3695
13400 -18.9563
13600 -19.6574
13800 -18.5524
14000 -19.4103
14200 -19.4756
14400 -19.8361
14600 -20.3773
14800 -20.1058
15000 -18.7373
15200 -20.1784
15400 -18.354
15600 -19.7689
15800 -19.7606
16000 -20.382
16200 -17.7007
16400 -20.3383
16600 -19.6538
16800 -19.6504
17000 -19.4483
17200 -20.339
17400 -18.2575
17600 -19.0984
17800 -19.4595
18000 -18.5879
18200 -19.9671
18400 -19.2553
18600 -20.1587
18800 -18.9277
19000 -17.3058
19200 -19.4889
19400 -19.9422
19600 -20.3181
19800 -19.7665
20000 -20.0938
