# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -12.1425
200 -8.05776
400 -8.31916
600 -7.03658
800 -6.37191
1000 -7.09236
1200 -7.46105
1400 -7.44086
1600 -7.2045
1800 -7.24231
2000 -7.48898
2200 -6.29271
2400 -6.50584
2600 -6.75607
2800 -6.47833
3000 -6.38224
3200 -7.6458
3400 -7.96501
3600 -8.32365
3800 -6.99368
4000 -6.00516
4200 -5.76153
4400 -7.19137
4600 -6.02659
4800 -5.56128
5000 -7.31173
5200 -6.62108
5400 -7.08109
5600 -7.40899
5800 -7.29082
6000 -7.58522
6200 -6.53133
6400 -6.41112
6600 -7.02075
6800 -6.98706
7000 -6.78855
7200 -7.33054
7400 -6.98869
7600 -6.89198
7800 -6.84031
8000 -7.6054
8200 -7.11101
8400 -6.75503
8600 -7.69224
8800 -7.69771
9000 -7.76018
9200 -7.85631
9400 -6.7989
9600 -7.10486
9800 -6.59111
10000 -7.56563
10200 -6.45383
10400 -7.28308
10600 -6.81708
10800 -6.90743
11000 -8.30833
11200 -7.26107
11400 -7.99439
11600 -7.46557
11800 -7.92727
12000 -7.54605
12200 -6.7058
12400 -6.65216
12600 -7.05524
12800 -6.86709
13000 -6.83349
13200 -6.75556
13400 -7.40587
13600 -7.2624
13800 -6.93301
14000 -7.63833
14200 -7.85364
14400 -7.3653
14600 -6.85793
14800 -7.16308
15000 -6.74654
15200 -7.48163
15400 -6.61178
15600 -6.98834
15800 -7.30985
16000 -6.55251
16200 -6.82025
16400 -6.83807
16600 -7.28714
16800 -7.59256
17000 -7.11005
17200 -8.5571
17400 -8.13786
17600 -7.2849
17800 -7.58755
18000 -6.96697
18200 -7.45442
18400 -7.51936
18600 -7.07065
18800 -6.67039
19000 -7.04147
19200 -6.78871
19400 -6.99074
19600 -7.61444
19800 -6.31307
20000 -6.91457
