# Time-averaged data for fix myat3
# TimeStep v_Etot
0 0.62993
200 4.15055
400 5.10548
600 5.27183
800 5.62577
1000 5.57431
1200 5.69106
1400 5.3484
1600 5.45106
1800 5.64692
2000 5.32063
2200 5.3325
2400 5.31642
2600 5.10836
2800 5.20456
3000 5.61055
3200 4.96968
3400 4.7935
3600 4.99949
3800 5.42212
4000 5.23552
4200 5.23828
4400 5.40233
4600 5.31185
4800 5.32139
5000 5.05905
5200 5.99739
5400 5.57726
5600 5.20848
5800 5.20432
6000 5.41093
6200 5.35464
6400 5.53829
6600 5.23056
6800 5.64165
7000 5.47972
7200 5.6386
7400 5.37498
7600 5.08032
7800 5.46258
8000 5.55642
8200 4.78566
8400 5.04638
8600 4.8902
8800 5.13376
9000 5.41689
9200 5.5223
9400 5.40487
9600 5.11902
9800 5.72203
10000 5.65487
10200 5.41416
10400 5.60157
10600 5.67325
10800 5.56105
11000 5.62287
11200 6.09487
11400 5.38459
11600 5.26096
11800 5.17764
12000 4.95196
12200 4.9287
12400 5.70294
12600 5.46085
12800 5.35117
13000 5.47189
13200 5.25522
13400 5.1979
13600 5.67915
13800 5.40271
14000 4.72233
14200 4.72653
14400 5.0734
14600 5.22411
14800 5.35533
15000 5.39412
15200 5.5995
15400 5.53577
15600 5.89917
15800 5.71598
16000 5.71528
16200 5.28039
16400 4.74693
16600 4.89038
16800 5.18677
17000 5.21907
17200 5.71937
17400 5.69364
17600 5.33999
17800 5.58491
18000 5.12151
18200 5.05015
18400 5.34324
18600 5.34283
18800 5.5441
19000 6.09668
19200 5.73298
19400 5.15503
19600 5.43029
19800 5.70638
20000 5.68283
