# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -14.0701
200 -8.80111
400 -9.09388
600 -9.00971
800 -9.1764
1000 -9.42522
1200 -9.48201
1400 -9.49836
1600 -9.1281
1800 -8.47526
2000 -9.79495
2200 -9.87899
2400 -9.51639
2600 -8.68886
2800 -10.2821
3000 -9.14149
3200 -9.95122
3400 -9.89956
3600 -9.89676
3800 -8.10419
4000 -9.68412
4200 -9.31347
4400 -9.17328
4600 -9.66828
4800 -8.69974
5000 -9.89976
5200 -7.43511
5400 -9.84067
5600 -10.1132
5800 -8.54212
6000 -9.68964
6200 -9.443
6400 -9.21779
6600 -8.8456
6800 -8.69018
7000 -8.65767
7200 -9.37182
7400 -9.69331
7600 -9.48675
7800 -8.90969
8000 -8.95392
8200 -9.50932
8400 -9.79928
8600 -10.4895
8800 -9.66813
9000 -9.3215
9200 -9.07207
9400 -8.35159
9600 -9.76779
9800 -8.39111
10000 -8.20227
10200 -9.11835
10400 -9.61421
10600 -9.20037
10800 -9.85665
11000 -9.2442
11200 -8.54561
11400 -9.63521
11600 -8.9418
11800 -8.82454
12000 -10.2577
12200 -9.5292
12400 -8.93714
12600 -9.45603
12800 -8.20018
13000 -9.66637
13200 -8.92954
13400 -9.82983
13600 -8.95838
13800 -9.35557
14000 -10.4888
14200 -9.85181
14400 -9.47728
14600 -9.28906
14800 -9.92569
15000 -8.48791
15200 -8.74585
15400 -8.96821
15600 -8.59055
15800 -8.11074
16000 -9.2092
16200 -9.57105
16400 -9.8494
16600 -9.10824
16800 -9.1492
17000 -9.26998
17200 -8.56201
17400 -9.69812
17600 -8.65644
17800 -9.11778
18000 -9.76871
18200 -8.92849
18400 -9.76984
18600 -9.4138
18800 -9.08258
19000 -8.90224
19200 -9.65409
19400 -9.14153
19600 -8.97892
19800 -8.91833
20000 -8.41766
