# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 -21.7343
200 -18.5054
400 -18.0416
600 -19.2794
800 -20.419
1000 -18.9198
1200 -17.7052
1400 -18.5424
1600 -18.9025
1800 -19.1054
2000 -19.0208
2200 -19.5369
2400 -19.8868
2600 -19.7855
2800 -18.0625
3000 -18.9024
3200 -18.364
3400 -18.7416
3600 -19.5375
3800 -18.5151
4000 -20.3306
4200 -19.2069
4400 -18.1624
4600 -19.6619
4800 -19.8125
5000 -18.8465
5200 -18.5803
5400 -17.9277
5600 -19.8289
5800 -17.6467
6000 -19.767
6200 -19.3734
6400 -18.796
6600 -18.5648
6800 -19.8902
7000 -19.9619
7200 -18.5112
7400 -18.2254
7600 -19.3496
7800 -19.3682
8000 -19.0267
8200 -19.5809
8400 -17.9181
8600 -18.152
8800 -19.7035
9000 -17.4221
9200 -19.1328
9400 -19.5976
9600 -18.9191
9800 -19.2421
10000 -19.3135
10200 -18.2195
10400 -20.0194
10600 -17.8434
10800 -19.2533
11000 -18.0316
11200 -18.965
11400 -18.1737
11600 -16.6849
11800 -19.5989
12000 -19.6667
12200 -18.738
12400 -16.5799
12600 -19.6197
12800 -19.2248
13000 -20.4401
13200 -18.3624
13400 -18.1248
13600 -20.2299
13800 -20.2718
14000 -19.4665
14200 -18.3865
14400 -18.9796
14600 -19.8055
14800 -19.0124
15000 -18.8372
15200 -18.0735
15400 -17.9791
15600 -18.7393
15800 -17.3495
16000 -18.3027
16200 -19.1948
16400 -18.8265
16600 -18.6408
16800 -18.2608
17000 -18.7324
17200 -18.0567
17400 -19.0487
17600 -19.7533
17800 -16.487
18000 -19.8752
18200 -18.7743
18400 -19.1791
18600 -20.4413
18800 -19.4025
19000 -20.2794
19200 -18.7836
19400 -18.2129
19600 -19.0284
19800 -18.8206
20000 -20.6003
