# Time-averaged data for fix myat3
# TimeStep v_Etot
0 -12.7558
200 -10.7468
400 -9.2421
600 -8.53752
800 -8.91777
1000 -9.61176
1200 -9.66958
1400 -9.99247
1600 -9.45824
1800 -9.59054
2000 -10.3864
2200 -9.92673
2400 -10.2671
2600 -10.5678
2800 -9.94375
3000 -10.4218
3200 -10.0869
3400 -9.59576
3600 -10.0227
3800 -10.1443
4000 -9.73657
4200 -10.0684
4400 -9.83013
4600 -9.546
4800 -10.3439
5000 -10.1709
5200 -10.0496
5400 -9.71719
5600 -9.27154
5800 -10.2221
6000 -9.97718
6200 -9.70403
6400 -9.91125
6600 -9.49869
6800 -10.1706
7000 -9.9075
7200 -9.89486
7400 -9.71972
7600 -9.93744
7800 -10.5095
8000 -9.93316
8200 -9.87898
8400 -10.0699
8600 -10.2112
8800 -9.98366
9000 -10.0843
9200 -10.1769
9400 -10.2852
9600 -10.4359
9800 -8.33888
10000 -9.5391
10200 -9.37465
10400 -9.51342
10600 -9.03586
10800 -10.1031
11000 -8.83725
11200 -9.71025
11400 -10.3792
11600 -10.1961
11800 -9.17813
12000 -9.0978
12200 -9.04935
12400 -9.73775
12600 -9.71401
12800 -8.85549
13000 -8.7955
13200 -9.44938
13400 -10.0173
13600 -10.2279
13800 -10.7415
14000 -10.0906
14200 -9.56175
14400 -9.57381
14600 -9.74839
14800 -9.80676
15000 -9.98785
15200 -9.26929
15400 -9.56759
15600 -9.94332
15800 -9.87884
16000 -9.73373
16200 -9.83711
16400 -10.0942
16600 -10.4344
16800 -10.0279
17000 -9.56196
17200 -9.62907
17400 -9.60941
17600 -9.71384
17800 -9.02144
18000 -8.75368
18200 -9.74713
18400 -9.94229
18600 -9.91949
18800 -8.40263
19000 -8.92691
19200 -9.78355
19400 -9.67414
19600 -9.07265
19800 -9.06699
20000 -9.59585
