# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -26.6803
200 -23.248
400 -23.4512
600 -24.9584
800 -23.7182
1000 -22.2955
1200 -22.8191
1400 -23.1569
1600 -23.3064
1800 -24.8932
2000 -25.0405
2200 -24.757
2400 -23.6589
2600 -22.6771
2800 -24.4966
3000 -24.2528
3200 -25.4263
3400 -22.6484
3600 -24.1483
3800 -24.8981
4000 -24.0787
4200 -23.4777
4400 -23.6088
4600 -22.3151
4800 -25.3441
5000 -23.3916
5200 -22.2074
5400 -22.536
5600 -24.9554
5800 -22.5074
6000 -25.3597
6200 -23.4326
6400 -22.3834
6600 -23.6189
6800 -24.139
7000 -22.5825
7200 -22.6159
7400 -23.7508
7600 -23.5168
7800 -22.8043
8000 -22.2675
8200 -23.5118
8400 -23.2182
8600 -24.436
8800 -23.5105
9000 -23.8259
9200 -24.0209
9400 -23.7579
9600 -24.1988
9800 -24.2053
10000 -23.0312
10200 -23.1445
10400 -23.6175
10600 -22.2609
10800 -22.3149
11000 -23.9697
11200 -24.3837
11400 -24.4967
11600 -23.321
11800 -22.8125
12000 -22.7365
12200 -24.5996
12400 -23.8986
12600 -24.0721
12800 -22.6707
13000 -21.835
13200 -22.2167
13400 -22.705
13600 -21.1281
13800 -24.4943
14000 -24.2311
14200 -23.9331
14400 -23.128
14600 -22.4977
14800 -23.1595
15000 -23.6174
15200 -23.4015
15400 -23.9551
15600 -24.383
15800 -22.7522
16000 -22.8803
16200 -22.411
16400 -22.4213
16600 -22.8671
16800 -23.2803
17000 -23.9179
17200 -24.3432
17400 -22.8031
17600 -23.5837
17800 -21.442
18000 -22.9535
18200 -23.9105
18400 -24.0174
18600 -23.929
18800 -24.2271
19000 -23.8949
19200 -25.1398
19400 -23.661
19600 -23.1371
19800 -23.4981
20000 -22.8327
