# Time-averaged data for fix myat7
# TimeStep v_temperature
0 100.644
200 95.146
400 97.936
600 108.529
800 103.256
1000 92.2991
1200 90.7088
1400 99.307
1600 98.9236
1800 106.553
2000 108.225
2200 108.414
2400 96.0181
2600 90.624
2800 104.318
3000 103.485
3200 116.241
3400 97.9773
3600 99.0387
3800 106.402
4000 101.222
4200 100.737
4400 99.3173
4600 92.6898
4800 106.054
5000 100.574
5200 95.3982
5400 97.2633
5600 116.713
5800 97.4635
6000 114.838
6200 98.0689
6400 95.8392
6600 103.78
6800 105.489
7000 97.4751
7200 99.3004
7400 101.002
7600 97.9255
7800 97.5126
8000 94.8041
8200 99.2757
8400 101.364
8600 106.139
8800 98.4181
9000 100.533
9200 100.639
9400 100.256
9600 104.049
9800 106.688
10000 96.8913
10200 97.5141
10400 101.847
10600 92.9242
10800 92.8269
11000 104.715
11200 103.602
11400 102.654
11600 96.093
11800 96.21
12000 95.0427
12200 106.754
12400 100.672
12600 103.122
12800 96.6963
13000 93.8712
13200 95.5149
13400 98.5567
13600 85.0878
13800 103.905
14000 106.533
14200 102.543
14400 100.946
14600 96.4143
14800 98.9143
15000 106.368
15200 100.942
15400 105.139
15600 107.188
15800 94.412
16000 96.3773
16200 96.7714
16400 100.296
16600 100.094
16800 97.4635
17000 104.032
17200 103.214
17400 97.2427
17600 98.4254
17800 88.1421
18000 96.2239
18200 103.101
18400 105.943
18600 104.199
18800 105.095
19000 102.429
19200 112.015
19400 105.984
19600 96.1904
19800 101.024
20000 95.7486
