# Time-averaged data for fix myat6
# TimeStep v_pressure
0 1241.87
200 1630.54
400 1630.14
600 1364.61
800 1603.76
1000 1877.68
1200 1647.09
1400 1814.79
1600 1672.18
1800 1316.68
2000 1329.25
2200 1337.1
2400 1523.33
2600 1754.8
2800 1559.88
3000 1470.24
3200 1220.34
3400 1790.97
3600 1451.48
3800 1277.44
4000 1518.1
4200 1626.28
4400 1628.33
4600 1851.6
4800 1228.68
5000 1625.26
5200 1829.14
5400 1821.61
5600 1320.74
5800 1829.9
6000 1281.53
6200 1543.63
6400 1863.01
6600 1561.84
6800 1590.86
7000 1809.96
7200 1771.04
7400 1457.25
7600 1587.18
7800 1833.49
8000 1837.13
8200 1607.78
8400 1783.71
8600 1377.94
8800 1529.85
9000 1529.64
9200 1498.08
9400 1559.26
9600 1486.07
9800 1506.67
10000 1695.79
10200 1643.77
10400 1612.06
10600 1916.13
10800 1837.42
11000 1571.54
11200 1448.96
11400 1342.37
11600 1627.99
11800 1694.8
12000 1704.64
12200 1367.52
12400 1559.8
12600 1562.68
12800 1850.42
13000 1993.42
13200 1912.6
13400 1757.02
13600 2025.84
13800 1387.92
14000 1390.35
14200 1446.39
14400 1790.33
14600 1838.71
14800 1768.2
15000 1648.77
15200 1601.2
15400 1494.07
15600 1594.12
15800 1662.49
16000 1688
16200 1924.04
16400 1792.11
16600 1713.18
16800 1588.39
17000 1756.23
17200 1452.18
17400 1714.45
17600 1643.18
17800 2122.01
18000 1709.27
18200 1567.33
18400 1581.59
18600 1533.05
18800 1493.47
19000 1535.2
19200 1198.48
19400 1646.87
19600 1745.08
19800 1637.98
20000 1725.17
