# Time-averaged data for fix myat6
# TimeStep v_pressure
0 45.2446
200 47.1663
400 50.7433
600 64.3344
800 56.4697
1000 61.3935
1200 54.0749
1400 67.0752
1600 91.6896
1800 95.0765
2000 94.3392
2200 89.9459
2400 116.198
2600 91.4479
2800 91.1036
3000 61.8578
3200 77.9692
3400 65.5774
3600 90.1197
3800 103.841
4000 78.9562
4200 53.1254
4400 68.167
4600 63.128
4800 61.8262
5000 86.5279
5200 52.8506
5400 47.6839
5600 68.4527
5800 56.0849
6000 57.8859
6200 93.1345
6400 71.0277
6600 66.2459
6800 48.0713
7000 57.9316
7200 113.251
7400 74.4536
7600 38.3712
7800 70.4603
8000 72.0793
8200 70.7821
8400 71.3843
8600 83.0695
8800 31.972
9000 85.6207
9200 101.039
9400 93.3663
9600 66.6987
9800 135.104
10000 82.0384
10200 58.6812
10400 42.0692
10600 41.7972
10800 70.1687
11000 78.685
11200 77.3997
11400 34.3031
11600 52.401
11800 71.6528
12000 56.4874
12200 109.096
12400 83.0411
12600 99.5586
12800 83.3016
13000 88.7918
13200 68.8526
13400 58.0717
13600 75.1509
13800 95.8869
14000 107.108
14200 80.225
14400 112.163
14600 85.8836
14800 41.9195
15000 57.4671
15200 65.5157
15400 103.63
15600 91.0677
15800 69.9836
16000 91.2692
16200 77.301
16400 75.2955
16600 64.9514
16800 85.2202
17000 110.032
17200 85.4234
17400 83.0472
17600 44.8314
17800 59.6013
18000 61.2609
18200 50.6088
18400 63.2079
18600 33.8494
18800 48.3791
19000 58.7127
19200 66.6402
19400 50.9763
19600 68.9607
19800 99.548
20000 95.2365
