# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 14.7
200 13.969
400 14.6358
600 14.3681
800 14.7605
1000 14.8756
1200 15.2066
1400 14.8723
1600 14.5246
1800 14.7457
2000 14.6934
2200 14.6674
2400 14.4784
2600 14.795
2800 14.813
3000 14.6443
3200 14.1708
3400 14.7209
3600 14.2465
3800 14.8852
4000 14.9365
4200 14.7406
4400 14.7225
4600 15.0265
4800 15.1977
5000 14.2779
5200 14.3544
5400 14.8399
5600 14.8958
5800 14.9878
6000 14.9763
6200 14.5533
6400 13.8216
6600 14.5653
6800 15.0767
7000 14.6276
7200 14.7881
7400 14.5305
7600 14.9718
7800 15.0362
8000 14.5758
8200 14.7132
8400 14.8251
8600 14.8023
8800 15.1824
9000 14.48
9200 14.9949
9400 13.996
9600 14.6725
9800 14.7394
10000 14.7631
10200 14.2823
10400 14.9036
10600 14.8714
10800 14.9752
11000 14.1576
11200 14.2075
11400 15.0601
11600 15.2502
11800 14.418
12000 14.6544
12200 14.9482
12400 14.3225
12600 14.6507
12800 14.0992
13000 14.6421
13200 14.0772
13400 14.9077
13600 14.7788
13800 14.8625
14000 14.9832
14200 15.0217
14400 14.3147
14600 14.5885
14800 14.5029
15000 15.0994
15200 14.7478
15400 14.7488
15600 14.4556
15800 14.711
16000 15.0157
16200 14.7517
16400 15.2214
16600 14.0222
16800 14.852
17000 14.4125
17200 14.6027
17400 14.7543
17600 14.4629
17800 15.3167
18000 14.6025
18200 14.0837
18400 14.4855
18600 15.2746
18800 14.0868
19000 14.0357
19200 14.6486
19400 14.6628
19600 13.8486
19800 14.766
20000 14.7869
