# Time-averaged data for fix myat8
# TimeStep v_volume
0 1901.09
200 1901.09
400 1901.09
600 1901.09
800 1901.09
1000 1901.09
1200 1901.09
1400 1901.09
1600 1901.09
1800 1901.09
2000 1901.09
2200 1901.09
2400 1901.09
2600 1901.09
2800 1901.09
3000 1901.09
3200 1901.09
3400 1901.09
3600 1901.09
3800 1901.09
4000 1901.09
4200 1901.09
4400 1901.09
4600 1901.09
4800 1901.09
5000 1901.09
5200 1901.09
5400 1901.09
5600 1901.09
5800 1901.09
6000 1901.09
6200 1901.09
6400 1901.09
6600 1901.09
6800 1901.09
7000 1901.09
7200 1901.09
7400 1901.09
7600 1901.09
7800 1901.09
8000 1901.09
8200 1901.09
8400 1901.09
8600 1901.09
8800 1901.09
9000 1901.09
9200 1901.09
9400 1901.09
9600 1901.09
9800 1901.09
10000 1901.09
10200 1901.09
10400 1901.09
10600 1901.09
10800 1901.09
11000 1901.09
11200 1901.09
11400 1901.09
11600 1901.09
11800 1901.09
12000 1901.09
12200 1901.09
12400 1901.09
12600 1901.09
12800 1901.09
13000 1901.09
13200 1901.09
13400 1901.09
13600 1901.09
13800 1901.09
14000 1901.09
14200 1901.09
14400 1901.09
14600 1901.09
14800 1901.09
15000 1901.09
15200 1901.09
15400 1901.09
15600 1901.09
15800 1901.09
16000 1901.09
16200 1901.09
16400 1901.09
16600 1901.09
16800 1901.09
17000 1901.09
17200 1901.09
17400 1901.09
17600 1901.09
17800 1901.09
18000 1901.09
18200 1901.09
18400 1901.09
18600 1901.09
18800 1901.09
19000 1901.09
19200 1901.09
19400 1901.09
19600 1901.09
19800 1901.09
20000 1901.09
