# Time-averaged data for fix myat8
# TimeStep v_volume
0 3856.6
200 3856.6
400 3856.6
600 3856.6
800 3856.6
1000 3856.6
1200 3856.6
1400 3856.6
1600 3856.6
1800 3856.6
2000 3856.6
2200 3856.6
2400 3856.6
2600 3856.6
2800 3856.6
3000 3856.6
3200 3856.6
3400 3856.6
3600 3856.6
3800 3856.6
4000 3856.6
4200 3856.6
4400 3856.6
4600 3856.6
4800 3856.6
5000 3856.6
5200 3856.6
5400 3856.6
5600 3856.6
5800 3856.6
6000 3856.6
6200 3856.6
6400 3856.6
6600 3856.6
6800 3856.6
7000 3856.6
7200 3856.6
7400 3856.6
7600 3856.6
7800 3856.6
8000 3856.6
8200 3856.6
8400 3856.6
8600 3856.6
8800 3856.6
9000 3856.6
9200 3856.6
9400 3856.6
9600 3856.6
9800 3856.6
10000 3856.6
10200 3856.6
10400 3856.6
10600 3856.6
10800 3856.6
11000 3856.6
11200 3856.6
11400 3856.6
11600 3856.6
11800 3856.6
12000 3856.6
12200 3856.6
12400 3856.6
12600 3856.6
12800 3856.6
13000 3856.6
13200 3856.6
13400 3856.6
13600 3856.6
13800 3856.6
14000 3856.6
14200 3856.6
14400 3856.6
14600 3856.6
14800 3856.6
15000 3856.6
15200 3856.6
15400 3856.6
15600 3856.6
15800 3856.6
16000 3856.6
16200 3856.6
16400 3856.6
16600 3856.6
16800 3856.6
17000 3856.6
17200 3856.6
17400 3856.6
17600 3856.6
17800 3856.6
18000 3856.6
18200 3856.6
18400 3856.6
18600 3856.6
18800 3856.6
19000 3856.6
19200 3856.6
19400 3856.6
19600 3856.6
19800 3856.6
20000 3856.6
