# Time-averaged data for fix myat3
# TimeStep v_Etot
0 -2.64139
200 1.48469
400 3.13667
600 3.7334
800 3.92171
1000 3.70986
1200 3.93487
1400 4.02315
1600 4.24614
1800 3.80457
2000 3.90351
2200 4.63158
2400 4.13488
2600 3.86341
2800 3.88339
3000 4.17384
3200 3.98807
3400 4.26295
3600 4.08745
3800 4.10584
4000 4.30082
4200 4.35841
4400 4.52804
4600 4.26842
4800 4.2448
5000 3.78582
5200 3.4529
5400 3.85599
5600 4.34301
5800 4.48865
6000 4.13043
6200 4.45234
6400 3.97224
6600 4.1125
6800 4.10702
7000 3.52953
7200 3.35776
7400 3.48551
7600 4.11481
7800 3.68925
8000 4.30185
8200 4.08689
8400 4.64289
8600 4.46227
8800 4.1562
9000 4.23775
9200 4.4305
9400 4.69261
9600 4.39375
9800 3.73461
10000 3.65091
10200 4.09618
10400 4.47095
10600 4.51464
10800 4.43459
11000 4.41907
11200 4.04105
11400 4.14996
11600 4.43369
11800 4.16899
12000 3.81942
12200 3.93033
12400 4.21299
12600 4.23268
12800 3.9868
13000 3.78476
13200 4.15581
13400 4.08713
13600 4.19046
13800 4.13748
14000 4.00583
14200 4.14373
14400 4.40883
14600 4.55172
14800 4.14875
15000 4.3529
15200 4.93764
15400 4.382
15600 4.44741
15800 4.2486
16000 3.7874
16200 4.33628
16400 3.92862
16600 3.86224
16800 3.7956
17000 3.49314
17200 3.9517
17400 3.87828
17600 4.26584
17800 4.14423
18000 4.04799
18200 4.52886
18400 3.97035
18600 4.19683
18800 4.2518
19000 4.19285
19200 4.58781
19400 4.46994
19600 4.10455
19800 4.0955
20000 3.72767
