# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 14.7
200 12.836
400 14.3544
600 13.7077
800 14.6021
1000 14.3637
1200 14.4848
1400 15.2567
1600 14.1029
1800 14.6803
2000 14.7442
2200 15.0404
2400 16.0986
2600 14.5248
2800 14.1539
3000 15.1192
3200 14.5181
3400 14.3842
3600 14.095
3800 15.0508
4000 14.7035
4200 15.0103
4400 15.0112
4600 13.6504
4800 15.2794
5000 15.6954
5200 14.926
5400 14.1336
5600 15.329
5800 14.7795
6000 14.6923
6200 15.4705
6400 15.5596
6600 13.9186
6800 14.7008
7000 15.3833
7200 15.1794
7400 13.6038
7600 14.5341
7800 15.1495
8000 14.6896
8200 14.8375
8400 13.9705
8600 14.7325
8800 14.6854
9000 15.5577
9200 14.9262
9400 14.7026
9600 14.7054
9800 15.8041
10000 14.8782
10200 15.3375
10400 14.9732
10600 14.5657
10800 14.7265
11000 14.8817
11200 15.1117
11400 14.9862
11600 13.6545
11800 14.7784
12000 16.1487
12200 14.1046
12400 14.6354
12600 15.2206
12800 14.7551
13000 15.0745
13200 14.3931
13400 14.3075
13600 15.2311
13800 14.5261
14000 16.0483
14200 14.4202
14400 14.2613
14600 15.4861
14800 13.96
15000 14.5453
15200 13.7966
15400 14.8279
15600 15.1779
15800 15.5693
16000 14.7713
16200 15.2673
16400 13.1936
16600 14.4061
16800 15.2066
17000 14.2404
17200 14.32
17400 14.0994
17600 14.715
17800 14.4788
18000 14.7612
18200 15.1206
18400 15.7433
18600 15.2637
18800 15.2211
19000 15.5837
19200 15.3435
19400 15.797
19600 15.302
19800 14.671
20000 15.0642
