# Time-averaged data for fix myat7
# TimeStep v_temperature
0 100.644
200 90.1613
400 94.9764
600 90.6699
800 99.5938
1000 102.296
1200 97.7471
1400 101.095
1600 100.626
1800 100.683
2000 100.692
2200 101.459
2400 103.406
2600 95.6346
2800 98.0111
3000 96.6833
3200 100.433
3400 101.503
3600 100.368
3800 99.5691
4000 98.1839
4200 95.7703
4400 105.37
4600 98.6169
4800 96.5224
5000 102.401
5200 96.6812
5400 99.4782
5600 100.022
5800 104.093
6000 98.2068
6200 105.118
6400 99.5939
6600 93.2568
6800 105.797
7000 107.444
7200 99.4266
7400 100.567
7600 97.9448
7800 95.6543
8000 103.888
8200 99.191
8400 98.7728
8600 102.518
8800 99.8645
9000 103.414
9200 101.188
9400 102.132
9600 96.3028
9800 101.339
10000 102.896
10200 101.354
10400 95.6704
10600 91.4779
10800 96.3478
11000 104.272
11200 99.8841
11400 103.053
11600 99.0422
11800 102.556
12000 108.46
12200 98.6205
12400 102.25
12600 94.2848
12800 101.614
13000 96.777
13200 105.696
13400 103.579
13600 101.69
13800 101.165
14000 99.1758
14200 95.3673
14400 102.267
14600 103.578
14800 99.4065
15000 103.649
15200 92.6639
15400 97.623
15600 94.8958
15800 102.162
16000 99.6976
16200 101.637
16400 105.526
16600 99.2531
16800 101.974
17000 98.5157
17200 101.24
17400 93.5104
17600 97.9347
17800 100.691
18000 98.3784
18200 97.367
18400 100.65
18600 102.907
18800 94.2271
19000 102.724
19200 102.052
19400 100.006
19600 99.6696
19800 103.246
20000 98.5866
