# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 -33.6127
200 -25.3576
400 -23.5934
600 -23.9261
800 -22.6456
1000 -23.251
1200 -24.7164
1400 -25.8773
1600 -24.5785
1800 -25.7668
2000 -25.541
2200 -22.9384
2400 -22.6103
2600 -25.1864
2800 -22.9779
3000 -25.3292
3200 -23.1419
3400 -24.5328
3600 -24.4435
3800 -23.1512
4000 -25.5537
4200 -23.5405
4400 -23.3363
4600 -23.8555
4800 -23.7848
5000 -25.8967
5200 -24.9514
5400 -24.9513
5600 -25.1009
5800 -26.2493
6000 -24.5356
6200 -23.7475
6400 -25.1435
6600 -26.5002
6800 -22.942
7000 -23.7752
7200 -24.6801
7400 -26.2431
7600 -25.1594
7800 -24.4854
8000 -24.4782
8200 -24.7863
8400 -23.3376
8600 -24.3115
8800 -25.8121
9000 -23.4845
9200 -23.0017
9400 -23.3048
9600 -24.7402
9800 -25.7463
10000 -25.5685
10200 -25.4187
10400 -23.9041
10600 -23.4739
10800 -24.6788
11000 -25.3538
11200 -25.282
11400 -25.4356
11600 -22.7355
11800 -23.6644
12000 -23.6344
12200 -23.308
12400 -23.7845
12600 -23.6178
12800 -26.015
13000 -23.0676
13200 -24.9943
13400 -25.9235
13600 -23.4186
13800 -24.7902
14000 -24.6052
14200 -23.4638
14400 -24.1265
14600 -25.4832
14800 -25.2025
15000 -25.043
15200 -24.316
15400 -26.3084
15600 -25.6074
15800 -26.2534
16000 -22.7213
16200 -23.5175
16400 -26.6935
16600 -23.5556
16800 -24.3294
17000 -25.6787
17200 -23.9537
17400 -23.1915
17600 -24.1042
17800 -24.1388
18000 -25.263
18200 -25.1147
18400 -23.9734
18600 -24.0468
18800 -25.5801
19000 -24.7734
19200 -25.6991
19400 -23.9963
19600 -25.0041
19800 -25.1167
20000 -23.6788
