# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 14.606
200 14.4596
400 14.5746
600 14.5977
800 14.6211
1000 14.6433
1200 14.6455
1400 14.6035
1600 14.5658
1800 14.5981
2000 14.5551
2200 14.5689
2400 14.6037
2600 14.6869
2800 14.5922
3000 14.5996
3200 14.5828
3400 14.6239
3600 14.6714
3800 14.5838
4000 14.5691
4200 14.5826
4400 14.6097
4600 14.6781
4800 14.5548
5000 14.6055
5200 14.6632
5400 14.615
5600 14.5848
5800 14.5819
6000 14.6404
6200 14.5879
6400 14.6681
6600 14.542
6800 14.6193
7000 14.5624
7200 14.6101
7400 14.6307
7600 14.5642
7800 14.5859
8000 14.6402
8200 14.666
8400 14.5274
8600 14.5951
8800 14.6348
9000 14.6002
9200 14.6028
9400 14.7353
9600 14.5808
9800 14.6154
10000 14.5381
10200 14.5708
10400 14.6318
10600 14.6066
10800 14.584
11000 14.5827
11200 14.5806
11400 14.6275
11600 14.6743
11800 14.5776
12000 14.65
12200 14.5479
12400 14.6187
12600 14.6071
12800 14.5807
13000 14.6213
13200 14.6004
13400 14.5913
13600 14.653
13800 14.6528
14000 14.5438
14200 14.5973
14400 14.6048
14600 14.6014
14800 14.6224
15000 14.626
15200 14.5769
15400 14.5959
15600 14.5627
15800 14.6324
16000 14.6218
16200 14.574
16400 14.5904
16600 14.5697
16800 14.602
17000 14.5505
17200 14.5778
17400 14.5771
17600 14.6296
17800 14.5898
18000 14.625
18200 14.5984
18400 14.6283
18600 14.6248
18800 14.5938
19000 14.6567
19200 14.5905
19400 14.5837
19600 14.6389
19800 14.5637
20000 14.5912
