# Time-averaged data for fix myat7
# TimeStep v_temperature
0 100
200 98.998
400 99.7855
600 99.9434
800 100.103
1000 100.256
1200 100.271
1400 99.9834
1600 99.7251
1800 99.9464
2000 99.6516
2200 99.7459
2400 99.9844
2600 100.554
2800 99.9054
3000 99.9567
3200 99.8413
3400 100.123
3600 100.448
3800 99.8482
4000 99.7477
4200 99.8398
4400 100.025
4600 100.494
4800 99.6497
5000 99.9965
5200 100.392
5400 100.062
5600 99.855
5800 99.8349
6000 100.236
6200 99.8766
6400 100.426
6600 99.5621
6800 100.091
7000 99.7016
7200 100.028
7400 100.169
7600 99.7143
7800 99.8625
8000 100.234
8200 100.411
8400 99.4619
8600 99.9257
8800 100.197
9000 99.9607
9200 99.9785
9400 100.885
9600 99.8274
9800 100.065
10000 99.5352
10200 99.7592
10400 100.177
10600 100.004
10800 99.8493
11000 99.8405
11200 99.8262
11400 100.147
11600 100.468
11800 99.8058
12000 100.302
12200 99.6024
12400 100.087
12600 100.007
12800 99.8272
13000 100.105
13200 99.962
13400 99.8997
13600 100.322
13800 100.321
14000 99.5745
14200 99.9406
14400 99.9921
14600 99.9686
14800 100.112
15000 100.137
15200 99.801
15400 99.9311
15600 99.7038
15800 100.181
16000 100.108
16200 99.7814
16400 99.8931
16600 99.7519
16800 99.9728
17000 99.6201
17200 99.807
17400 99.8023
17600 100.162
17800 99.8894
18000 100.13
18200 99.9484
18400 100.153
18600 100.129
18800 99.9169
19000 100.347
19200 99.8941
19400 99.8476
19600 100.225
19800 99.7106
20000 99.8989
