# Time-averaged data for fix myat6
# TimeStep v_pressure
0 3.07047
200 2.15962
400 1.84439
600 1.59334
800 1.44831
1000 1.31425
1200 1.2572
1400 1.21611
1600 1.16494
1800 1.12604
2000 1.19959
2200 1.07666
2400 1.06207
2600 1.0507
2800 1.02341
3000 1.0229
3200 1.02222
3400 1.01433
3600 0.998775
3800 0.998334
4000 1.00326
4200 1.01284
4400 1.01157
4600 1.02367
4800 1.00263
5000 1.00505
5200 0.999974
5400 0.990339
5600 0.987168
5800 1.00105
6000 0.997485
6200 0.992624
6400 0.992995
6600 0.989921
6800 1.04347
7000 0.99582
7200 0.997815
7400 0.990525
7600 0.983308
7800 0.997347
8000 0.991702
8200 0.994892
8400 1.08631
8600 0.993448
8800 1.00012
9000 0.989947
9200 0.994504
9400 1.01482
9600 1.03566
9800 1.03412
10000 0.979172
10200 0.994851
10400 0.997578
10600 1.04214
10800 0.98385
11000 1.03345
11200 0.995024
11400 0.992858
11600 1.01173
11800 0.978535
12000 1.00543
12200 0.98706
12400 1.0552
12600 1.02489
12800 1.01154
13000 1.03192
13200 0.982418
13400 0.988731
13600 0.99033
13800 0.974671
14000 1.0098
14200 0.984408
14400 0.989568
14600 0.986937
14800 0.986913
15000 1.00191
15200 1.03966
15400 1.00702
15600 0.990287
15800 0.992157
16000 1.01145
16200 1.05677
16400 0.975532
16600 0.990247
16800 1.0368
17000 1.11293
17200 1.00585
17400 0.99144
17600 0.995054
17800 0.990399
18000 0.990629
18200 0.990276
18400 0.988631
18600 0.989637
18800 0.987479
19000 1.03425
19200 1.00329
19400 1.02415
19600 0.984861
19800 1.03088
20000 0.988361
