# Time-averaged data for fix myat8
# TimeStep v_volume
0 216000
200 292603
400 356717
600 411151
800 455877
1000 491337
1200 519981
1400 546572
1600 565211
1800 582182
2000 596075
2200 608570
2400 617019
2600 624066
2800 633806
3000 639621
3200 643027
3400 645451
3600 646720
3800 651134
4000 650823
4200 651998
4400 653710
4600 656613
4800 656635
5000 657368
5200 657365
5400 660826
5600 659029
5800 658429
6000 658378
6200 659980
6400 659062
6600 660004
6800 660837
7000 660276
7200 660027
7400 662552
7600 664794
7800 663848
8000 663357
8200 665978
8400 666545
8600 665609
8800 666800
9000 665398
9200 664404
9400 668696
9600 666361
9800 664376
10000 664271
10200 662641
10400 662204
10600 663582
10800 663578
11000 662649
11200 663446
11400 662857
11600 664425
11800 661721
12000 659327
12200 661460
12400 661833
12600 663314
12800 663056
13000 661134
13200 664055
13400 666128
13600 666617
13800 665347
14000 666490
14200 666262
14400 664409
14600 665207
14800 663605
15000 664404
15200 663039
15400 664226
15600 663995
15800 662921
16000 663787
16200 663328
16400 666577
16600 664218
16800 664555
17000 666149
17200 664832
17400 665375
17600 664486
17800 665530
18000 664392
18200 665237
18400 663948
18600 665194
18800 663171
19000 664922
19200 663998
19400 663776
19600 666116
19800 667583
20000 666724
