# Time-averaged data for fix myat3
# TimeStep v_Etot
0 13.7742
200 14.1754
400 14.4105
600 14.4665
800 14.4613
1000 14.4263
1200 14.4017
1400 14.3109
1600 14.4287
1800 14.4772
2000 14.388
2200 14.4354
2400 14.4843
2600 14.4286
2800 14.4198
3000 14.4259
3200 14.4747
3400 14.4906
3600 14.367
3800 14.3794
4000 14.4666
4200 14.5347
4400 14.5568
4600 14.491
4800 14.5007
5000 14.5527
5200 14.5039
5400 14.4541
5600 14.4432
5800 14.5247
6000 14.5171
6200 14.4878
6400 14.4833
6600 14.452
6800 14.4875
7000 14.4988
7200 14.5383
7400 14.4978
7600 14.4586
7800 14.5494
8000 14.545
8200 14.413
8400 14.5051
8600 14.5447
8800 14.5208
9000 14.53
9200 14.5466
9400 14.5067
9600 14.413
9800 14.3447
10000 14.3958
10200 14.5166
10400 14.5345
10600 14.4616
10800 14.4571
11000 14.4913
11200 14.5273
11400 14.539
11600 14.3772
11800 14.4261
12000 14.4092
12200 14.4446
12400 14.472
12600 14.3776
12800 14.4025
13000 14.4257
13200 14.4625
13400 14.5194
13600 14.4898
13800 14.4327
14000 14.4257
14200 14.4989
14400 14.5073
14600 14.4962
14800 14.5099
15000 14.4268
15200 14.4409
15400 14.4079
15600 14.4935
15800 14.5142
16000 14.453
16200 14.4245
16400 14.3926
16600 14.5003
16800 14.5083
17000 14.4359
17200 14.4612
17400 14.5174
17600 14.5337
17800 14.5148
18000 14.5274
18200 14.4995
18400 14.5178
18600 14.4343
18800 14.4913
19000 14.4335
19200 14.4263
19400 14.464
19600 14.4733
19800 14.4807
20000 14.5208
