# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 -18.2078
200 -14.5475
400 -12.7303
600 -13.9159
800 -12.3959
1000 -12.6624
1200 -13.915
1400 -13.0024
1600 -13.9658
1800 -13.6896
2000 -13.5793
2200 -14.3197
2400 -13.2314
2600 -14.0877
2800 -14.365
3000 -11.6866
3200 -14.1036
3400 -13.6857
3600 -12.8412
3800 -13.9956
4000 -14.211
4200 -13.2701
4400 -12.7181
4600 -13.0029
4800 -12.3904
5000 -12.0817
5200 -12.4457
5400 -12.6628
5600 -13.8399
5800 -13.1179
6000 -13.2548
6200 -12.1048
6400 -13.356
6600 -13.0699
6800 -13.6572
7000 -13.4115
7200 -13.3074
7400 -13.8759
7600 -14.4243
7800 -13.4175
8000 -13.1584
8200 -12.926
8400 -14.1815
8600 -13.091
8800 -12.1003
9000 -12.1024
9200 -13.7732
9400 -13.1902
9600 -13.223
9800 -12.7839
10000 -11.7491
10200 -12.5613
10400 -12.6933
10600 -13.2032
10800 -12.2996
11000 -12.6458
11200 -10.7862
11400 -12.4832
11600 -12.7881
11800 -13.1326
12000 -13.6392
12200 -13.9212
12400 -12.9945
12600 -13.7117
12800 -13.2915
13000 -13.0777
13200 -12.9324
13400 -13.2182
13600 -12.9232
13800 -12.7093
14000 -12.7028
14200 -13.2375
14400 -12.9379
14600 -13.0144
14800 -12.6209
15000 -13.629
15200 -11.5913
15400 -12.7282
15600 -12.6337
15800 -13.0192
16000 -12.8713
16200 -12.9304
16400 -12.7574
16600 -13.0464
16800 -13.1416
17000 -12.3553
17200 -13.0966
17400 -12.9899
17600 -12.7357
17800 -12.8133
18000 -12.6834
18200 -13.0133
18400 -12.6125
18600 -12.4839
18800 -13.8041
19000 -13.6476
19200 -13.0143
19400 -13.5325
19600 -12.4765
19800 -12.7122
20000 -13.2694
