# Time-averaged data for fix myat6
# TimeStep v_pressure
0 62.7794
200 351.251
400 533.687
600 523.074
800 574.527
1000 360.55
1200 321.163
1400 501.985
1600 632.02
1800 520.971
2000 545.872
2200 462.674
2400 427.84
2600 551.832
2800 347.484
3000 529.536
3200 413.606
3400 696.807
3600 579.908
3800 418.07
4000 437.109
4200 631.162
4400 416.042
4600 501.154
4800 394.607
5000 216.32
5200 698.448
5400 599.175
5600 167.1
5800 426.493
6000 418.721
6200 764.325
6400 606.929
6600 556.803
6800 313.874
7000 702.424
7200 556.639
7400 614.752
7600 432.325
7800 563.573
8000 434.472
8200 468.138
8400 368.571
8600 337.571
8800 430.604
9000 551.078
9200 464.148
9400 564.008
9600 505.805
9800 444.674
10000 487.054
10200 563.611
10400 675.723
10600 679.638
10800 564.344
11000 301.365
11200 641.708
11400 610.406
11600 468.983
11800 319.945
12000 702.994
12200 235.561
12400 557.194
12600 700.1
12800 554.777
13000 652.482
13200 552.954
13400 510.633
13600 629.121
13800 364.949
14000 420.072
14200 380.363
14400 284.141
14600 306.908
14800 554.969
15000 425.229
15200 719.552
15400 403.452
15600 519.616
15800 562.158
16000 340.149
16200 545.041
16400 519.387
16600 160.802
16800 140.601
17000 625.403
17200 627.36
17400 396.025
17600 204.77
17800 489.773
18000 421.193
18200 666.047
18400 408.325
18600 515.161
18800 223.225
19000 340.159
19200 509.31
19400 472.766
19600 606.584
19800 707.359
20000 344.795
