# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 -18.9894
200 -15.2649
400 -12.9668
600 -13.4842
800 -13.9487
1000 -14.396
1200 -15.0944
1400 -14.4782
1600 -14.2655
1800 -13.9527
2000 -14.7777
2200 -14.2434
2400 -13.8341
2600 -14.3489
2800 -13.9477
3000 -14.4906
3200 -14.3568
3400 -14.7312
3600 -14.1517
3800 -13.7894
4000 -14.5214
4200 -16.1259
4400 -13.8829
4600 -13.6568
4800 -13.9364
5000 -13.4666
5200 -13.6443
5400 -13.4724
5600 -14.7697
5800 -13.586
6000 -14.4507
6200 -13.8014
6400 -14.3232
6600 -13.689
6800 -13.93
7000 -15.3301
7200 -13.5611
7400 -14.5347
7600 -13.9277
7800 -13.9718
8000 -15.2324
8200 -13.8497
8400 -14.9626
8600 -14.053
8800 -14.5357
9000 -14.8284
9200 -14.9374
9400 -14.0396
9600 -14.9273
9800 -15.515
10000 -14.3295
10200 -13.5541
10400 -14.5036
10600 -14.5187
10800 -14.3032
11000 -15.0785
11200 -14.1601
11400 -13.2742
11600 -13.9009
11800 -12.8883
12000 -14.9211
12200 -13.9635
12400 -12.2094
12600 -13.6296
12800 -13.9834
13000 -13.1606
13200 -14.903
13400 -14.2454
13600 -13.6829
13800 -14.31
14000 -15.3055
14200 -13.28
14400 -14.8233
14600 -13.4705
14800 -13.801
15000 -13.7684
15200 -14.8674
15400 -14.1506
15600 -13.4549
15800 -14.4256
16000 -14.0022
16200 -14.6614
16400 -13.4078
16600 -12.0603
16800 -14.6151
17000 -14.3764
17200 -15.2961
17400 -14.8289
17600 -13.8504
17800 -14.3286
18000 -13.7689
18200 -14.4971
18400 -14.9365
18600 -15.2749
18800 -15.2625
19000 -14.823
19200 -14.9411
19400 -14.6983
19600 -13.7302
19800 -13.9063
20000 -13.0539
