# Time-averaged data for fix myat6
# TimeStep v_pressure
0 29738.9
200 3270.63
400 1382.44
600 893.835
800 749.767
1000 809.036
1200 891.407
1400 467.306
1600 832.253
1800 507.498
2000 761.55
2200 630.266
2400 835.001
2600 807.623
2800 1132.65
3000 943.715
3200 681.148
3400 1069.4
3600 709.365
3800 1105.29
4000 615.632
4200 900.188
4400 598.413
4600 687.07
4800 947.685
5000 864.337
5200 823.138
5400 760.791
5600 617.486
5800 901.577
6000 1065.61
6200 561.709
6400 694.626
6600 1072.78
6800 1098.41
7000 977.058
7200 766.949
7400 793.801
7600 819.636
7800 713.689
8000 425.14
8200 764.934
8400 581.635
8600 765.378
8800 704.42
9000 891.941
9200 729.487
9400 867.82
9600 661.806
9800 569.674
10000 777.303
10200 663.586
10400 674.304
10600 765.602
10800 998.434
11000 986.609
11200 615.91
11400 601.778
11600 592.047
11800 952.19
12000 787.068
12200 751.302
12400 812.061
12600 664.459
12800 681.024
13000 1030.08
13200 895.695
13400 795.694
13600 781.618
13800 505.61
14000 509.561
14200 779.262
14400 760.515
14600 895.669
14800 591.496
15000 974.727
15200 672.513
15400 543.335
15600 1101.67
15800 702.121
16000 624.736
16200 990.161
16400 503.186
16600 672.472
16800 551.07
17000 571.792
17200 596.29
17400 948.578
17600 796.728
17800 687.482
18000 944.187
18200 951.358
18400 665.422
18600 774.121
18800 1050.44
19000 928.504
19200 775.361
19400 625.565
19600 994.304
19800 838.64
20000 711.944
