# Time-averaged data for fix myat6
# TimeStep v_pressure
0 21.2982
200 102.746
400 225.024
600 138.008
800 154.027
1000 151.208
1200 154.589
1400 160.076
1600 234.79
1800 62.4863
2000 199.066
2200 134.3
2400 164.554
2600 175.424
2800 50.2204
3000 201.318
3200 224.596
3400 210.464
3600 250.459
3800 145.772
4000 156.098
4200 103.717
4400 136.758
4600 114.236
4800 159.361
5000 154.435
5200 126.455
5400 159.76
5600 113.126
5800 221.508
6000 55.9523
6200 123.441
6400 233.18
6600 214.538
6800 111.575
7000 131.017
7200 140.38
7400 220.096
7600 97.656
7800 186.145
8000 146.928
8200 171.167
8400 339.703
8600 185.279
8800 121.004
9000 86.1907
9200 248.097
9400 129.434
9600 105.391
9800 302.304
10000 114.175
10200 91.4956
10400 150.267
10600 181.254
10800 212.209
11000 148.101
11200 147.08
11400 70.3855
11600 71.3708
11800 105.935
12000 130.512
12200 113.031
12400 87.5261
12600 212.054
12800 57.0553
13000 141.004
13200 93.5833
13400 82.47
13600 181.919
13800 166.261
14000 133.988
14200 161.393
14400 160.358
14600 158.394
14800 81.7527
15000 77.8335
15200 95.826
15400 153.69
15600 130.661
15800 184.451
16000 149.504
16200 117.704
16400 100.982
16600 88.996
16800 118.083
17000 191.366
17200 87.5934
17400 143.52
17600 114.954
17800 107.177
18000 193.53
18200 112.297
18400 227.651
18600 287.12
18800 94.3611
19000 174.782
19200 219.269
19400 171.197
19600 119.886
19800 97.9775
20000 81.5083
