# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 14.7
200 54.1949
400 21.0028
600 15.7468
800 15.7506
1000 15.3255
1200 14.9685
1400 15.6582
1600 14.1922
1800 13.8122
2000 13.8751
2200 14.5623
2400 13.5763
2600 14.1126
2800 13.9673
3000 15.2189
3200 15.2357
3400 14.1896
3600 14.399
3800 14.3974
4000 15.1511
4200 15.5213
4400 14.4602
4600 15.0274
4800 15.023
5000 14.3665
5200 14.8722
5400 14.1214
5600 15.2324
5800 15.7712
6000 15.0268
6200 14.9116
6400 14.6426
6600 14.9865
6800 14.545
7000 13.7352
7200 13.4474
7400 13.5618
7600 15.1064
7800 14.035
8000 15.0659
8200 14.5166
8400 13.6056
8600 14.537
8800 14.9355
9000 14.0183
9200 14.731
9400 14.8428
9600 14.6581
9800 14.8628
10000 16.4946
10200 16.2743
10400 14.7526
10600 14.6179
10800 14.0632
11000 15.5363
11200 13.8588
11400 14.5897
11600 14.1738
11800 15.4706
12000 14.6719
12200 15.0907
12400 14.9232
12600 14.094
12800 14.8351
13000 13.815
13200 14.8793
13400 15.2608
13600 14.1815
13800 14.0249
14000 13.5105
14200 13.6484
14400 15.3739
14600 14.2116
14800 15.032
15000 14.7422
15200 15.6245
15400 12.6398
15600 14.7493
15800 13.7521
16000 15.5352
16200 12.6971
16400 14.0303
16600 14.992
16800 14.4235
17000 15.3287
17200 14.919
17400 14.4307
17600 15.0674
17800 15.567
18000 14.9386
18200 15.2773
18400 14.7734
18600 15.6119
18800 14.7605
19000 15.5623
19200 13.461
19400 14.3094
19600 14.5461
19800 14.1343
20000 16.2083
