# Time-averaged data for fix myat6
# TimeStep v_pressure
0 818.127
200 1950.49
400 1974.91
600 2009.38
800 2486.31
1000 2505.91
1200 2115.86
1400 2385.17
1600 1938.55
1800 1861.82
2000 2156.44
2200 2252.08
2400 2276.22
2600 1992.28
2800 2021.83
3000 2930.85
3200 2189.62
3400 2008.66
3600 2794.35
3800 2415.82
4000 2519.94
4200 1970.81
4400 2212.02
4600 2271.24
4800 2889.98
5000 2662.04
5200 2491.41
5400 2430.76
5600 2421.59
5800 2266.39
6000 2087.9
6200 2142.24
6400 2474.99
6600 1985.28
6800 2324.53
7000 2153.98
7200 2359.28
7400 2119.5
7600 2138.85
7800 2449.47
8000 2087.97
8200 2532.75
8400 2721.38
8600 2187.86
8800 2087.75
9000 2493.33
9200 2412.65
9400 1958.3
9600 2371.17
9800 1980.17
10000 2319.34
10200 2418.58
10400 2026.3
10600 2233.29
10800 2020.77
11000 1941.22
11200 2530.15
11400 2481.81
11600 2345.51
11800 2032.34
12000 2459.7
12200 2467.57
12400 2492.18
12600 2019.83
12800 2185.3
13000 2084.64
13200 2726.49
13400 2066.97
13600 2514.35
13800 2487.73
14000 2144.45
14200 2258.49
14400 2071.17
14600 2690.75
14800 2146.33
15000 1948.82
15200 2202.6
15400 1943.6
15600 2322.99
15800 2136.03
16000 2052.27
16200 2124.2
16400 2605.1
16600 2387.2
16800 1928.97
17000 2277.46
17200 2572.69
17400 2104.69
17600 2087.22
17800 1893.68
18000 2126.45
18200 2361.64
18400 2403.65
18600 2105.45
18800 2668.34
19000 1956.28
19200 2254.35
19400 2361.26
19600 2533.69
19800 1997.18
20000 2047.78
