# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -6.83231
200 -4.44708
400 -3.79373
600 -4.08794
800 -3.96196
1000 -3.33209
1200 -4.00031
1400 -3.82919
1600 -3.76551
1800 -2.98605
2000 -2.90135
2200 -3.26759
2400 -3.79452
2600 -3.63621
2800 -3.7413
3000 -4.79098
3200 -4.67881
3400 -4.83392
3600 -4.07088
3800 -4.28681
4000 -3.73991
4200 -3.46309
4400 -3.51967
4600 -3.16205
4800 -3.92242
5000 -3.75543
5200 -4.13278
5400 -4.12268
5600 -3.78219
5800 -2.58908
6000 -3.05029
6200 -4.04765
6400 -4.21154
6600 -4.09449
6800 -4.13414
7000 -3.66388
7200 -3.0708
7400 -3.45529
7600 -3.13151
7800 -2.77936
8000 -4.20999
8200 -3.79508
8400 -3.45797
8600 -3.71476
8800 -2.91816
9000 -3.44373
9200 -3.41727
9400 -3.65195
9600 -2.73061
9800 -3.80304
10000 -2.8479
10200 -2.57442
10400 -3.68872
10600 -3.82346
10800 -3.88134
11000 -4.06444
11200 -4.12712
11400 -3.4778
11600 -3.10374
11800 -3.55948
12000 -3.15566
12200 -3.30648
12400 -3.78561
12600 -2.96251
12800 -3.77235
13000 -3.02702
13200 -3.25084
13400 -2.97092
13600 -3.21505
13800 -2.95579
14000 -3.53709
14200 -3.96679
14400 -4.25408
14600 -4.4248
14800 -3.37635
15000 -4.04576
15200 -4.49622
15400 -3.82506
15600 -2.95624
15800 -3.05203
16000 -4.11545
16200 -3.9536
16400 -4.07529
16600 -3.75355
16800 -3.28212
17000 -3.63734
17200 -3.28561
17400 -3.33351
17600 -3.97679
17800 -3.55089
18000 -3.71461
18200 -3.80501
18400 -3.88287
18600 -3.88187
18800 -3.93525
19000 -3.77506
19200 -3.81997
19400 -4.02225
19600 -3.76775
19800 -3.49204
20000 -3.17676
