# Time-averaged data for fix myat7
# TimeStep v_temperature
0 100.644
200 96.2656
400 96.4762
600 101.119
800 97.9811
1000 98.5823
1200 102.224
1400 100.422
1600 101.763
1800 99.2555
2000 99.6327
2200 101.906
2400 104.215
2600 99.2476
2800 99.5624
3000 103.386
3200 102.652
3400 100.572
3600 99.0609
3800 102.051
4000 99.9062
4200 99.1457
4400 100.953
4600 99.3548
4800 103.116
5000 101.764
5200 102.558
5400 101.742
5600 100.239
5800 95.8175
6000 101.961
6200 104.471
6400 102.179
6600 101.414
6800 101.536
7000 100.659
7200 97.172
7400 101.296
7600 98.8504
7800 98.0472
8000 105.713
8200 101.224
8400 98.8123
8600 101.223
8800 98.2801
9000 100.674
9200 100.799
9400 101.668
9600 97.4874
9800 105.478
10000 98.0952
10200 95.9982
10400 100.874
10600 100.6
10800 100.868
11000 102.957
11200 101.821
11400 98.4147
11600 100.468
11800 102.987
12000 97.2298
12200 99.5232
12400 101.934
12600 98.5583
12800 102.957
13000 97.8418
13200 100.704
13400 101.503
13600 101.574
13800 100.2
14000 101.727
14200 101.995
14400 102.176
14600 103.959
14800 97.352
15000 101.933
15200 102.816
15400 99.0984
15600 98.2616
15800 99.9077
16000 103.82
16200 101.803
16400 103.063
16600 100.434
16800 100.263
17000 102.684
17200 99.9056
17400 101.2
17600 104.418
17800 100.736
18000 101.117
18200 101.316
18400 100.98
18600 101.693
18800 101.677
19000 101.486
19200 101.285
19400 100.788
19600 100.437
19800 100.368
20000 99.8803
