# Time-averaged data for fix myat6
# TimeStep v_pressure
0 36.3284
200 60.2052
400 88.5052
600 71.2975
800 134.684
1000 51.9521
1200 145.75
1400 93.5788
1600 114.687
1800 96.1802
2000 124.501
2200 139.291
2400 55.9789
2600 175.286
2800 109.339
3000 87.952
3200 159.228
3400 90.6528
3600 94.7413
3800 120.147
4000 176.444
4200 122.821
4400 142.404
4600 63.9868
4800 167.231
5000 112.114
5200 149.012
5400 51.7572
5600 94.5891
5800 163.141
6000 56.8575
6200 129.883
6400 118.208
6600 110.744
6800 114.746
7000 97.0447
7200 137.159
7400 103.066
7600 132.323
7800 101.14
8000 102.987
8200 77.8756
8400 154.574
8600 155.092
8800 131.221
9000 116.75
9200 170.543
9400 71.6339
9600 213.481
9800 56.6959
10000 108.961
10200 84.7939
10400 142.22
10600 115.781
10800 97.7966
11000 108.853
11200 172.745
11400 94.6518
11600 66.4073
11800 142.805
12000 88.7587
12200 83.6339
12400 114.408
12600 124.139
12800 121.427
13000 124.933
13200 68.5032
13400 110.153
13600 69.1759
13800 117.986
14000 61.9395
14200 131.787
14400 62.5101
14600 97.5746
14800 93.6236
15000 145.208
15200 45.3226
15400 93.1518
15600 153.958
15800 52.3978
16000 118.406
16200 99.1458
16400 109
16600 72.9853
16800 90.7237
17000 77.9563
17200 132.207
17400 97.9101
17600 108.232
17800 97.5426
18000 69.4266
18200 129.922
18400 74.1836
18600 116.322
18800 128.205
19000 78.4232
19200 110.474
19400 147.508
19600 73.0933
19800 201.279
20000 83.7138
