# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 14.7
200 13.4855
400 14.3555
600 15.2698
800 14.3437
1000 14.9976
1200 14.3336
1400 14.4442
1600 14.3694
1800 14.5258
2000 15.1335
2200 14.9159
2400 15.0755
2600 13.8706
2800 14.2935
3000 14.7686
3200 13.6798
3400 14.7955
3600 15.7189
3800 15.1324
4000 13.8694
4200 14.2645
4400 14.1188
4600 15.5019
4800 14.0967
5000 14.6364
5200 14.4659
5400 14.9994
5600 15.1292
5800 14.4031
6000 14.563
6200 14.5893
6400 14.7801
6600 14.9705
6800 15.0193
7000 14.5915
7200 14.369
7400 14.9233
7600 14.5554
7800 14.6044
8000 15.1208
8200 14.589
8400 14.7034
8600 13.7468
8800 14.2576
9000 15.4715
9200 13.9947
9400 15.4426
9600 14.0229
9800 14.9344
10000 14.8117
10200 14.302
10400 14.7006
10600 13.7715
10800 14.5944
11000 14.5803
11200 13.6617
11400 14.8491
11600 14.5973
11800 14.3084
12000 14.8927
12200 14.6693
12400 15.4177
12600 14.7691
12800 13.9942
13000 14.7816
13200 15.1532
13400 14.8483
13600 14.7522
13800 14.8
14000 14.6888
14200 14.9875
14400 14.7329
14600 15.0621
14800 14.7297
15000 14.5899
15200 15.1555
15400 14.8119
15600 14.8096
15800 14.8459
16000 14.4542
16200 15.4424
16400 14.2423
16600 14.23
16800 15.1606
17000 14.851
17200 14.805
17400 14.4208
17600 14.4041
17800 14.9809
18000 15.1402
18200 14.9972
18400 14.4672
18600 14.4274
18800 14.6717
19000 14.7149
19200 14.3922
19400 14.808
19600 14.5053
19800 14.0182
20000 14.9508
