# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -12.4276
200 -8.40078
400 -7.83022
600 -8.45514
800 -7.46803
1000 -8.53395
1200 -7.69098
1400 -7.14118
1600 -7.10222
1800 -6.80683
2000 -7.20696
2200 -7.55834
2400 -7.96575
2600 -6.30918
2800 -6.82129
3000 -7.16137
3200 -5.92873
3400 -6.98238
3600 -8.16751
3800 -8.0466
4000 -7.08886
4200 -7.17026
4400 -6.91035
4600 -8.35117
4800 -7.18706
5000 -7.61575
5200 -7.22835
5400 -7.92047
5600 -8.15062
5800 -8.08086
6000 -8.03324
6200 -7.59063
6400 -7.6542
6600 -7.41216
6800 -8.05182
7000 -7.73163
7200 -7.25894
7400 -7.44993
7600 -6.93165
7800 -7.73377
8000 -7.75609
8200 -7.14413
8400 -7.26706
8600 -5.9574
8800 -6.38393
9000 -8.33808
9200 -6.73766
9400 -8.5629
9600 -7.19488
9800 -8.32135
10000 -7.701
10200 -7.19324
10400 -7.94492
10600 -6.97508
10800 -7.71299
11000 -7.76838
11200 -6.57021
11400 -7.73395
11600 -7.55145
11800 -7.01133
12000 -8.07273
12200 -7.74291
12400 -8.18568
12600 -7.95796
12800 -6.84859
13000 -7.19925
13200 -7.5082
13400 -7.67532
13600 -7.4327
13800 -7.07831
14000 -6.95756
14200 -7.40623
14400 -7.24364
14600 -7.91196
14800 -7.37466
15000 -7.80473
15200 -8.7474
15400 -7.88245
15600 -8.0733
15800 -7.95722
16000 -7.53107
16200 -8.52227
16400 -7.93338
16600 -7.54956
16800 -8.07948
17000 -8.22361
17200 -8.40779
17400 -7.61302
17600 -6.91443
17800 -7.31584
18000 -7.8614
18200 -8.13568
18400 -7.42939
18600 -7.11178
18800 -7.5586
19000 -7.84912
19200 -7.40749
19400 -8.20385
19600 -8.10041
19800 -7.37063
20000 -8.33815
