# Time-averaged data for fix myat3
# TimeStep v_Etot
0 -2.85891
200 0.533213
400 1.59213
600 2.15428
800 2.03811
1000 2.43655
1200 2.82666
1400 2.37166
1600 2.3344
1800 2.43757
2000 2.53923
2200 2.26284
2400 2.02321
2600 2.12428
2800 2.12881
3000 2.1659
3200 2.42727
3400 2.26462
3600 2.18892
3800 2.20278
4000 1.59793
4200 2.19686
4400 2.57491
4600 2.45514
4800 2.50272
5000 2.65652
5200 2.58881
5400 2.32532
5600 2.72044
5800 2.23615
6000 2.19314
6200 2.49488
6400 2.72367
6600 2.36764
6800 2.0629
7000 2.4221
7200 2.2392
7400 2.23613
7600 2.47522
7800 2.1234
8000 1.86793
8200 2.2127
8400 2.66979
8600 2.12488
8800 2.42541
9000 2.41668
9200 2.09841
9400 2.11269
9600 1.8823
9800 2.14866
10000 2.80226
10200 2.52588
10400 2.40925
10600 2.62965
10800 3.29404
11000 2.96072
11200 2.58554
11400 2.89024
11600 2.59629
11800 2.30593
12000 1.95099
12200 1.97111
12400 2.12854
12600 2.52148
12800 2.38018
13000 2.2906
13200 2.33987
13400 2.29712
13600 2.6352
13800 2.40206
14000 1.96247
14200 2.11913
14400 2.13812
14600 2.05369
14800 2.47149
15000 2.5729
15200 2.47001
15400 2.42688
15600 2.09977
15800 2.34379
16000 2.5574
16200 2.23532
16400 2.22511
16600 2.73836
16800 2.5553
17000 2.21211
17200 2.3062
17400 2.41408
17600 2.20296
17800 2.18287
18000 2.45053
18200 1.82118
18400 1.74467
18600 2.25931
18800 2.03479
19000 1.9841
19200 2.73198
19400 2.57891
19600 2.55483
19800 2.19987
20000 2.1576
