# Time-averaged data for fix myat3
# TimeStep v_Etot
0 0.77537
200 3.99967
400 4.9732
600 4.9224
800 5.08658
1000 5.78428
1200 6.06507
1400 6.04699
1600 5.58664
1800 5.67906
2000 5.91948
2200 6.00961
2400 5.77085
2600 5.49301
2800 5.66429
3000 5.54541
3200 6.12326
3400 6.18044
3600 5.76975
3800 5.71424
4000 6.0582
4200 5.97163
4400 5.7335
4600 5.54666
4800 5.45422
5000 6.26718
5200 5.61123
5400 5.62122
5600 4.95323
5800 5.03018
6000 5.37712
6200 5.50129
6400 5.52258
6600 5.56035
6800 5.514
7000 5.73205
7200 5.70527
7400 5.67471
7600 5.46176
7800 5.79059
8000 6.28108
8200 6.03152
8400 5.96107
8600 6.05509
8800 6.59094
9000 6.74613
9200 6.52645
9400 6.2706
9600 6.25882
9800 6.23755
10000 6.1557
10200 5.76836
10400 5.93762
10600 5.99766
10800 6.03556
11000 5.77915
11200 5.74124
11400 6.34563
11600 6.08949
11800 6.2859
12000 5.96552
12200 5.57397
12400 5.95283
12600 6.03607
12800 6.18602
13000 5.67077
13200 5.86711
13400 5.906
13600 5.86941
13800 5.66805
14000 6.17234
14200 5.9389
14400 5.39589
14600 5.34335
14800 5.77148
15000 5.7369
15200 6.28192
15400 6.53814
15600 6.19115
15800 6.16647
16000 6.00297
16200 5.42061
16400 5.30236
16600 5.77004
16800 5.89804
17000 6.05142
17200 5.67763
17400 5.7558
17600 6.20409
17800 5.97408
18000 6.0557
18200 6.1735
18400 5.62918
18600 5.58969
18800 5.38716
19000 5.17805
19200 5.51617
19400 5.59643
19600 5.64289
19800 6.46275
20000 6.31781
