# Time-averaged data for fix myat9
# TimeStep v_density
0 0.0276792
200 0.0276792
400 0.0276792
600 0.0276792
800 0.0276792
1000 0.0276792
1200 0.0276792
1400 0.0276792
1600 0.0276792
1800 0.0276792
2000 0.0276792
2200 0.0276792
2400 0.0276792
2600 0.0276792
2800 0.0276792
3000 0.0276792
3200 0.0276792
3400 0.0276792
3600 0.0276792
3800 0.0276792
4000 0.0276792
4200 0.0276792
4400 0.0276792
4600 0.0276792
4800 0.0276792
5000 0.0276792
5200 0.0276792
5400 0.0276792
5600 0.0276792
5800 0.0276792
6000 0.0276792
6200 0.0276792
6400 0.0276792
6600 0.0276792
6800 0.0276792
7000 0.0276792
7200 0.0276792
7400 0.0276792
7600 0.0276792
7800 0.0276792
8000 0.0276792
8200 0.0276792
8400 0.0276792
8600 0.0276792
8800 0.0276792
9000 0.0276792
9200 0.0276792
9400 0.0276792
9600 0.0276792
9800 0.0276792
10000 0.0276792
10200 0.0276792
10400 0.0276792
10600 0.0276792
10800 0.0276792
11000 0.0276792
11200 0.0276792
11400 0.0276792
11600 0.0276792
11800 0.0276792
12000 0.0276792
12200 0.0276792
12400 0.0276792
12600 0.0276792
12800 0.0276792
13000 0.0276792
13200 0.0276792
13400 0.0276792
13600 0.0276792
13800 0.0276792
14000 0.0276792
14200 0.0276792
14400 0.0276792
14600 0.0276792
14800 0.0276792
15000 0.0276792
15200 0.0276792
15400 0.0276792
15600 0.0276792
15800 0.0276792
16000 0.0276792
16200 0.0276792
16400 0.0276792
16600 0.0276792
16800 0.0276792
17000 0.0276792
17200 0.0276792
17400 0.0276792
17600 0.0276792
17800 0.0276792
18000 0.0276792
18200 0.0276792
18400 0.0276792
18600 0.0276792
18800 0.0276792
19000 0.0276792
19200 0.0276792
19400 0.0276792
19600 0.0276792
19800 0.0276792
20000 0.0276792
