# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 14.7
200 14.2042
400 14.8116
600 14.8412
800 14.7451
1000 14.7385
1200 14.7558
1400 14.9453
1600 14.3318
1800 14.7478
2000 14.8355
2200 15.0298
2400 14.7807
2600 14.7731
2800 14.3223
3000 15.0544
3200 14.6236
3400 14.6222
3600 14.6437
3800 14.6687
4000 14.8029
4200 14.8291
4400 14.7105
4600 14.9067
4800 14.7757
5000 14.6124
5200 14.8714
5400 14.7896
5600 14.6146
5800 14.2373
6000 14.8329
6200 14.62
6400 14.6442
6600 14.5451
6800 14.8544
7000 14.9388
7200 14.5907
7400 14.8942
7600 14.6337
7800 14.8189
8000 14.7887
8200 14.5794
8400 15.0374
8600 14.7418
8800 14.6667
9000 14.6964
9200 14.8859
9400 14.6861
9600 14.7024
9800 14.9693
10000 14.6412
10200 14.5965
10400 14.8477
10600 14.8622
10800 14.6541
11000 14.6694
11200 14.3409
11400 14.7502
11600 14.7271
11800 14.9318
12000 14.9058
12200 14.6789
12400 14.6377
12600 14.8572
12800 14.9737
13000 14.5917
13200 14.6896
13400 15.0058
13600 14.6367
13800 14.8027
14000 14.7319
14200 14.7501
14400 14.5022
14600 15
14800 14.6581
15000 14.7076
15200 14.3514
15400 14.7854
15600 14.6306
15800 14.871
16000 14.8038
16200 14.7987
16400 14.8447
16600 14.5318
16800 14.627
17000 14.7705
17200 14.7627
17400 14.8662
17600 14.855
17800 14.8874
18000 14.6989
18200 14.705
18400 14.684
18600 14.4918
18800 14.837
19000 14.64
19200 14.7902
19400 14.8132
19600 14.6802
19800 14.946
20000 14.7457
