# Time-averaged data for fix myat9
# TimeStep v_density
0 0.0485816
200 0.0485816
400 0.0485816
600 0.0485816
800 0.0485816
1000 0.0485816
1200 0.0485816
1400 0.0485816
1600 0.0485816
1800 0.0485816
2000 0.0485816
2200 0.0485816
2400 0.0485816
2600 0.0485816
2800 0.0485816
3000 0.0485816
3200 0.0485816
3400 0.0485816
3600 0.0485816
3800 0.0485816
4000 0.0485816
4200 0.0485816
4400 0.0485816
4600 0.0485816
4800 0.0485816
5000 0.0485816
5200 0.0485816
5400 0.0485816
5600 0.0485816
5800 0.0485816
6000 0.0485816
6200 0.0485816
6400 0.0485816
6600 0.0485816
6800 0.0485816
7000 0.0485816
7200 0.0485816
7400 0.0485816
7600 0.0485816
7800 0.0485816
8000 0.0485816
8200 0.0485816
8400 0.0485816
8600 0.0485816
8800 0.0485816
9000 0.0485816
9200 0.0485816
9400 0.0485816
9600 0.0485816
9800 0.0485816
10000 0.0485816
10200 0.0485816
10400 0.0485816
10600 0.0485816
10800 0.0485816
11000 0.0485816
11200 0.0485816
11400 0.0485816
11600 0.0485816
11800 0.0485816
12000 0.0485816
12200 0.0485816
12400 0.0485816
12600 0.0485816
12800 0.0485816
13000 0.0485816
13200 0.0485816
13400 0.0485816
13600 0.0485816
13800 0.0485816
14000 0.0485816
14200 0.0485816
14400 0.0485816
14600 0.0485816
14800 0.0485816
15000 0.0485816
15200 0.0485816
15400 0.0485816
15600 0.0485816
15800 0.0485816
16000 0.0485816
16200 0.0485816
16400 0.0485816
16600 0.0485816
16800 0.0485816
17000 0.0485816
17200 0.0485816
17400 0.0485816
17600 0.0485816
17800 0.0485816
18000 0.0485816
18200 0.0485816
18400 0.0485816
18600 0.0485816
18800 0.0485816
19000 0.0485816
19200 0.0485816
19400 0.0485816
19600 0.0485816
19800 0.0485816
20000 0.0485816
