# Time-averaged data for fix myat9
# TimeStep v_density
0 0.0116869
200 0.0116869
400 0.0116869
600 0.0116869
800 0.0116869
1000 0.0116869
1200 0.0116869
1400 0.0116869
1600 0.0116869
1800 0.0116869
2000 0.0116869
2200 0.0116869
2400 0.0116869
2600 0.0116869
2800 0.0116869
3000 0.0116869
3200 0.0116869
3400 0.0116869
3600 0.0116869
3800 0.0116869
4000 0.0116869
4200 0.0116869
4400 0.0116869
4600 0.0116869
4800 0.0116869
5000 0.0116869
5200 0.0116869
5400 0.0116869
5600 0.0116869
5800 0.0116869
6000 0.0116869
6200 0.0116869
6400 0.0116869
6600 0.0116869
6800 0.0116869
7000 0.0116869
7200 0.0116869
7400 0.0116869
7600 0.0116869
7800 0.0116869
8000 0.0116869
8200 0.0116869
8400 0.0116869
8600 0.0116869
8800 0.0116869
9000 0.0116869
9200 0.0116869
9400 0.0116869
9600 0.0116869
9800 0.0116869
10000 0.0116869
10200 0.0116869
10400 0.0116869
10600 0.0116869
10800 0.0116869
11000 0.0116869
11200 0.0116869
11400 0.0116869
11600 0.0116869
11800 0.0116869
12000 0.0116869
12200 0.0116869
12400 0.0116869
12600 0.0116869
12800 0.0116869
13000 0.0116869
13200 0.0116869
13400 0.0116869
13600 0.0116869
13800 0.0116869
14000 0.0116869
14200 0.0116869
14400 0.0116869
14600 0.0116869
14800 0.0116869
15000 0.0116869
15200 0.0116869
15400 0.0116869
15600 0.0116869
15800 0.0116869
16000 0.0116869
16200 0.0116869
16400 0.0116869
16600 0.0116869
16800 0.0116869
17000 0.0116869
17200 0.0116869
17400 0.0116869
17600 0.0116869
17800 0.0116869
18000 0.0116869
18200 0.0116869
18400 0.0116869
18600 0.0116869
18800 0.0116869
19000 0.0116869
19200 0.0116869
19400 0.0116869
19600 0.0116869
19800 0.0116869
20000 0.0116869
