# Time-averaged data for fix myat7
# TimeStep v_temperature
0 100.644
200 260.222
400 130.791
600 116.016
800 107.661
1000 93.5901
1200 100.257
1400 103.865
1600 100.729
1800 103.278
2000 98.7656
2200 105.145
2400 99.1949
2600 91.8768
2800 105.507
3000 96.2503
3200 104.866
3400 105.411
3600 92.4797
3800 102.695
4000 92.2334
4200 89.7089
4400 101.285
4600 96.4917
4800 98.7802
5000 102.408
5200 109.22
5400 100.831
5600 104.283
5800 98.5916
6000 98.7208
6200 94.6059
6400 106.093
6600 109.369
6800 104.501
7000 104.476
7200 99.0397
7400 96.3247
7600 95.2012
7800 100.85
8000 103.401
8200 102.669
8400 99.9065
8600 93.446
8800 100.11
9000 104.695
9200 107.607
9400 107.733
9600 103.837
9800 104.994
10000 105.964
10200 94.5684
10400 99.733
10600 99.5092
10800 110.834
11000 103.811
11200 102.25
11400 103.735
11600 103.144
11800 98.9317
12000 112.342
12200 111.488
12400 100.899
12600 102.4
12800 102.92
13000 102.446
13200 92.7282
13400 101.522
13600 103.853
13800 100.677
14000 93.2125
14200 113.749
14400 94.8024
14600 100.982
14800 103.235
15000 97.3225
15200 102.423
15400 102.453
15600 95.9658
15800 106.63
16000 90.0862
16200 101.736
16400 95.7383
16600 107.678
16800 102.183
17000 99.707
17200 100.743
17400 96.5113
17600 94.8983
17800 103.474
18000 90.8369
18200 101.241
18400 105.178
18600 102.045
18800 102.396
19000 101.976
19200 97.6907
19400 105.306
19600 99.8999
19800 109.597
20000 99.0732
