# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 123.858
200 -11.2651
400 -18.0946
600 -22.4119
800 -22.5811
1000 -20.987
1200 -22.1153
1400 -22.9739
1600 -21.9389
1800 -22.6729
2000 -22.0667
2200 -22.3537
2400 -21.7855
2600 -20.9553
2800 -22.528
3000 -21.0239
3200 -23.0336
3400 -23.2186
3600 -20.978
3800 -22.8616
4000 -20.8449
4200 -20.3728
4400 -22.688
4600 -21.9325
4800 -21.62
5000 -22.3553
5200 -23.276
5400 -22.2116
5600 -22.4139
5800 -21.7245
6000 -22.0815
6200 -21.2209
6400 -22.6578
6600 -23.1855
6800 -22.773
7000 -22.8348
7200 -22.064
7400 -22.0716
7600 -21.8219
7800 -21.5627
8000 -22.6405
8200 -21.9376
8400 -21.9599
8600 -21.3083
8800 -22.042
9000 -22.2718
9200 -22.9607
9400 -24.0096
9600 -22.9359
9800 -23.1405
10000 -23.1952
10200 -20.9591
10400 -21.6496
10600 -22.2093
10800 -23.4832
11000 -22.5537
11200 -22.0125
11400 -21.7714
11600 -22.2644
11800 -22.2102
12000 -22.8513
12200 -23.6066
12400 -21.7237
12600 -22.3805
12800 -21.8921
13000 -21.9264
13200 -20.703
13400 -22.1371
13600 -22.6253
13800 -22.3234
14000 -20.4939
14200 -23.8854
14400 -21.1298
14600 -21.6072
14800 -22.5788
15000 -21.4281
15200 -21.8444
15400 -22.6107
15600 -20.5512
15800 -23.0634
16000 -20.6633
16200 -21.7187
16400 -20.904
16600 -22.5997
16800 -22.4989
17000 -21.6573
17200 -22.1479
17400 -21.5527
17600 -21.2349
17800 -22.389
18000 -20.2949
18200 -21.7476
18400 -22.4507
18600 -22.4559
18800 -22.351
19000 -22.1608
19200 -20.9105
19400 -22.7486
19600 -22.202
19800 -23.149
20000 -22.4503
