# Time-averaged data for fix myat7
# TimeStep v_temperature
0 200
200 198.888
400 199.806
600 199.924
800 200.076
1000 200.052
1200 200.07
1400 199.861
1600 200.054
1800 200.315
2000 199.818
2200 200.404
2400 199.785
2600 199.949
2800 200.012
3000 200.258
3200 200.441
3400 199.915
3600 199.98
3800 200.01
4000 200.015
4200 199.981
4400 200.097
4600 199.754
4800 200.457
5000 199.766
5200 199.928
5400 199.99
5600 201.041
5800 199.199
6000 199.94
6200 199.997
6400 200.913
6600 200.056
6800 200.089
7000 200.276
7200 199.838
7400 199.782
7600 199.993
7800 200.682
8000 200.009
8200 200.03
8400 200.033
8600 200.002
8800 199.948
9000 200.433
9200 199.842
9400 199.974
9600 200.024
9800 200.038
10000 199.95
10200 200.15
10400 200.271
10600 199.802
10800 199.932
11000 199.99
11200 200.085
11400 199.942
11600 200.339
11800 200.227
12000 199.869
12200 199.957
12400 199.942
12600 199.975
12800 199.988
13000 199.993
13200 200.095
13400 199.954
13600 199.997
13800 200.008
14000 200.017
14200 199.791
14400 199.952
14600 200
14800 199.531
15000 199.95
15200 199.953
15400 199.895
15600 200.019
15800 199.957
16000 200.35
16200 199.982
16400 200.004
16600 200.418
16800 199.793
17000 200.016
17200 199.963
17400 199.996
17600 199.998
17800 199.998
18000 200.094
18200 200.108
18400 199.998
18600 199.961
18800 199.941
19000 199.967
19200 199.997
19400 200.082
19600 200.023
19800 199.695
20000 199.888
