# Time-averaged data for fix myat9
# TimeStep v_density
0 0.000384393
200 0.000200294
400 0.000143332
600 0.000116058
800 0.00010038
1000 9.03869e-05
1200 8.34786e-05
1400 7.86588e-05
1600 7.50663e-05
1800 7.2215e-05
2000 7.0229e-05
2200 6.86547e-05
2400 6.72014e-05
2600 6.62469e-05
2800 6.54757e-05
3000 6.48752e-05
3200 6.40885e-05
3400 6.37646e-05
3600 6.34842e-05
3800 6.32515e-05
4000 6.30684e-05
4200 6.29181e-05
4400 6.27985e-05
4600 6.27239e-05
4800 6.26698e-05
5000 6.25049e-05
5200 6.24629e-05
5400 6.24136e-05
5600 6.2129e-05
5800 6.20279e-05
6000 6.2043e-05
6200 6.20745e-05
6400 6.18254e-05
6600 6.18893e-05
6800 6.19559e-05
7000 6.19554e-05
7200 6.19843e-05
7400 6.20593e-05
7600 6.21067e-05
7800 6.18997e-05
8000 6.19662e-05
8200 6.20196e-05
8400 6.2075e-05
8600 6.21307e-05
8800 6.21692e-05
9000 6.2196e-05
9200 6.21231e-05
9400 6.21393e-05
9600 6.21493e-05
9800 6.21786e-05
10000 6.21962e-05
10200 6.22081e-05
10400 6.22449e-05
10600 6.23022e-05
10800 6.22964e-05
11000 6.22773e-05
11200 6.22641e-05
11400 6.22737e-05
11600 6.22816e-05
11800 6.23158e-05
12000 6.22256e-05
12200 6.22458e-05
12400 6.22619e-05
12600 6.22613e-05
12800 6.22541e-05
13000 6.2244e-05
13200 6.22438e-05
13400 6.22448e-05
13600 6.22347e-05
13800 6.22278e-05
14000 6.22234e-05
14200 6.22474e-05
14400 6.22467e-05
14600 6.22366e-05
14800 6.22187e-05
15000 6.21128e-05
15200 6.21466e-05
15400 6.21775e-05
15600 6.21851e-05
15800 6.2203e-05
16000 6.22121e-05
16200 6.20321e-05
16400 6.20618e-05
16600 6.20978e-05
16800 6.20989e-05
17000 6.21255e-05
17200 6.21471e-05
17400 6.21558e-05
17600 6.21621e-05
17800 6.21665e-05
18000 6.21741e-05
18200 6.21645e-05
18400 6.22132e-05
18600 6.2062e-05
18800 6.21082e-05
19000 6.21286e-05
19200 6.21385e-05
19400 6.21512e-05
19600 6.21968e-05
19800 6.22336e-05
20000 6.22624e-05
