# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 29.2119
200 29.0496
400 29.1836
600 29.2008
800 29.2231
1000 29.2195
1200 29.2222
1400 29.1916
1600 29.2198
1800 29.258
2000 29.1854
2200 29.271
2400 29.1806
2600 29.2044
2800 29.2137
3000 29.2496
3200 29.2764
3400 29.1995
3600 29.209
3800 29.2133
4000 29.2141
4200 29.2091
4400 29.2261
4600 29.176
4800 29.2787
5000 29.1778
5200 29.2014
5400 29.2105
5600 29.364
5800 29.0949
6000 29.2031
6200 29.2115
6400 29.3454
6600 29.2202
6800 29.2249
7000 29.2522
7200 29.1883
7400 29.1802
7600 29.2109
7800 29.3116
8000 29.2132
8200 29.2164
8400 29.2168
8600 29.2122
8800 29.2044
9000 29.2751
9200 29.1889
9400 29.2081
9600 29.2155
9800 29.2174
10000 29.2047
10200 29.2338
10400 29.2516
10600 29.1831
10800 29.202
11000 29.2105
11200 29.2244
11400 29.2035
11600 29.2614
11800 29.2451
12000 29.1929
12200 29.2056
12400 29.2034
12600 29.2083
12800 29.2102
13000 29.2109
13200 29.2258
13400 29.2052
13600 29.2115
13800 29.2132
14000 29.2144
14200 29.1814
14400 29.2049
14600 29.2119
14800 29.1434
15000 29.2046
15200 29.2051
15400 29.1967
15600 29.2147
15800 29.2056
16000 29.2631
16200 29.2093
16400 29.2126
16600 29.273
16800 29.1817
17000 29.2143
17200 29.2065
17400 29.2113
17600 29.2117
17800 29.2116
18000 29.2256
18200 29.2277
18400 29.2117
18600 29.2063
18800 29.2033
19000 29.2071
19200 29.2116
19400 29.2239
19600 29.2153
19800 29.1673
20000 29.1956
