# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -0.831764
200 -0.123269
400 -0.0562781
600 -0.0237132
800 -0.0397042
1000 -0.0329673
1200 -0.0993234
1400 -0.0056054
1600 -0.018367
1800 -0.149982
2000 -0.00842082
2200 -0.114175
2400 -0.0154821
2600 -0.00295318
2800 -0.00652754
3000 -0.0686202
3200 -0.104816
3400 -0.00667415
3600 -0.00888111
3800 -0.00789523
4000 -0.0159317
4200 -0.0071595
4400 -0.031432
4600 -0.0300672
4800 -0.124307
5000 -0.0260337
5200 -0.00130229
5400 -0.000819143
5600 -0.101564
5800 0.119232
6000 -0.00410677
6200 -0.00666136
6400 -0.0749226
6600 -0.00597695
6800 -0.0296968
7000 -0.110742
7200 -0.0682435
7400 -0.0233778
7600 -0.0215038
7800 -0.0776178
8000 -0.0112829
8200 -0.0190296
8400 -0.0307444
8600 -0.0342626
8800 -0.016454
9000 -0.100066
9200 -0.0044387
9400 -0.000860672
9600 -0.00688714
9800 -0.0343427
10000 -0.00477169
10200 -0.0415224
10400 -0.14272
10600 -0.0231783
10800 -0.000965024
11000 -0.000639166
11200 -0.0193046
11400 -0.0116903
11600 -0.112936
11800 -0.105438
12000 -0.0289741
12200 -0.0155802
12400 -0.0170181
12600 -0.00754709
12800 -0.00444392
13000 -0.00202377
13200 -0.0298149
13400 -0.000709468
13600 -0.00170555
13800 -0.004461
14000 -0.00688684
14200 -0.0161299
14400 -0.00221349
14600 -0.00212551
14800 0.0291721
15000 -0.0134838
15200 -0.0668809
15400 -0.000954882
15600 -0.010646
15800 -0.010298
16000 -0.0702821
16200 -0.00213596
16400 -0.00376702
16600 -0.0887559
16800 -0.00527158
17000 -0.0145922
17200 -0.00301499
17400 -0.00176955
17600 -0.00172499
17800 -0.00113121
18000 -0.0210771
18200 -0.112917
18400 -0.0343003
18600 -0.0100733
18800 -0.0160174
19000 0
19200 -0.000902941
19400 -0.0194601
19600 -0.0665837
19800 -0.0181921
20000 -0.0209172
