# Time-averaged data for fix myat3
# TimeStep v_Etot
0 28.3802
200 28.9263
400 29.1273
600 29.1771
800 29.1834
1000 29.1866
1200 29.1229
1400 29.186
1600 29.2014
1800 29.108
2000 29.177
2200 29.1568
2400 29.1651
2600 29.2015
2800 29.2072
3000 29.1809
3200 29.1715
3400 29.1929
3600 29.2001
3800 29.2054
4000 29.1982
4200 29.2019
4400 29.1946
4600 29.1459
4800 29.1544
5000 29.1518
5200 29.2001
5400 29.2097
5600 29.2624
5800 29.2141
6000 29.199
6200 29.2049
6400 29.2704
6600 29.2142
6800 29.1952
7000 29.1415
7200 29.1201
7400 29.1568
7600 29.1894
7800 29.234
8000 29.2019
8200 29.1974
8400 29.186
8600 29.178
8800 29.1879
9000 29.1751
9200 29.1845
9400 29.2073
9600 29.2086
9800 29.1831
10000 29.1999
10200 29.1923
10400 29.1089
10600 29.1599
10800 29.2011
11000 29.2099
11200 29.2051
11400 29.1918
11600 29.1485
11800 29.1396
12000 29.1639
12200 29.19
12400 29.1864
12600 29.2008
12800 29.2058
13000 29.2089
13200 29.196
13400 29.2045
13600 29.2098
13800 29.2087
14000 29.2076
14200 29.1652
14400 29.2027
14600 29.2098
14800 29.1726
15000 29.1911
15200 29.1382
15400 29.1957
15600 29.204
15800 29.1953
16000 29.1928
16200 29.2071
16400 29.2088
16600 29.1843
16800 29.1764
17000 29.1997
17200 29.2035
17400 29.2095
17600 29.21
17800 29.2105
18000 29.2046
18200 29.1148
18400 29.1774
18600 29.1962
18800 29.1873
19000 29.2071
19200 29.2107
19400 29.2044
19600 29.1487
19800 29.1491
20000 29.1747
