# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 7.30298
200 7.24238
400 7.25619
600 7.34178
800 7.34301
1000 7.28866
1200 7.43882
1400 7.23805
1600 7.28855
1800 7.28204
2000 7.25004
2200 7.29515
2400 7.37551
2600 7.25372
2800 7.28356
3000 7.31144
3200 7.34653
3400 7.31655
3600 7.23794
3800 7.3143
4000 7.29461
4200 7.27706
4400 7.33847
4600 7.30513
4800 7.28621
5000 7.33462
5200 7.29793
5400 7.28479
5600 7.39802
5800 7.23486
6000 7.31656
6200 7.27371
6400 7.31667
6600 7.29287
6800 7.33843
7000 7.33693
7200 7.23513
7400 7.29237
7600 7.30178
7800 7.39372
8000 7.27568
8200 7.31407
8400 7.34945
8600 7.28065
8800 7.24944
9000 7.27365
9200 7.31047
9400 7.19101
9600 7.34868
9800 7.31787
10000 7.26689
10200 7.28867
10400 7.28504
10600 7.32241
10800 7.29134
11000 7.27207
11200 7.31149
11400 7.34716
11600 7.29803
11800 7.3376
12000 7.31238
12200 7.26129
12400 7.37887
12600 7.28724
12800 7.25435
13000 7.30085
13200 7.27385
13400 7.3437
13600 7.32792
13800 7.31553
14000 7.26346
14200 7.27393
14400 7.27343
14600 7.36525
14800 7.22655
15000 7.33721
15200 7.27296
15400 7.30618
15600 7.36584
15800 7.24424
16000 7.29538
16200 7.316
16400 7.31304
16600 7.29103
16800 7.34334
17000 7.3285
17200 7.28227
17400 7.24625
17600 7.2715
17800 7.29879
18000 7.33201
18200 7.41063
18400 7.23539
18600 7.26683
18800 7.26933
19000 7.3095
19200 7.30182
19400 7.35395
19600 7.24388
19800 7.2902
20000 7.27862
