# Time-averaged data for fix myat7
# TimeStep v_temperature
0 50
200 49.585
400 49.6796
600 50.2656
800 50.2741
1000 49.9019
1200 50.93
1400 49.5554
1600 49.9012
1800 49.8566
2000 49.6375
2200 49.9463
2400 50.4966
2600 49.6627
2800 49.867
3000 50.0579
3200 50.2981
3400 50.0929
3600 49.5547
3800 50.0775
4000 49.9426
4200 49.8225
4400 50.2429
4600 50.0147
4800 49.8852
5000 50.2166
5200 49.9654
5400 49.8754
5600 50.6507
5800 49.5336
6000 50.093
6200 49.7996
6400 50.0937
6600 49.9308
6800 50.2427
7000 50.2324
7200 49.5354
7400 49.9273
7600 49.9918
7800 50.6213
8000 49.813
8200 50.0759
8400 50.3182
8600 49.8471
8800 49.6334
9000 49.7992
9200 50.0512
9400 49.2333
9600 50.3128
9800 50.1019
10000 49.7529
10200 49.902
10400 49.8772
10600 50.133
10800 49.9203
11000 49.7884
11200 50.0583
11400 50.3024
11600 49.966
11800 50.237
12000 50.0643
12200 49.7145
12400 50.5195
12600 49.8922
12800 49.667
13000 49.9854
13200 49.8005
13400 50.2788
13600 50.1707
13800 50.0859
14000 49.7294
14200 49.801
14400 49.7976
14600 50.4263
14800 49.4767
15000 50.2344
15200 49.7945
15400 50.0219
15600 50.4304
15800 49.5978
16000 49.9479
16200 50.0891
16400 50.0689
16600 49.9181
16800 50.2763
17000 50.1747
17200 49.8582
17400 49.6116
17600 49.7844
17800 49.9713
18000 50.1987
18200 50.737
18400 49.5372
18600 49.7524
18800 49.7696
19000 50.0446
19200 49.992
19400 50.3489
19600 49.5953
19800 49.9125
20000 49.8332
