# Time-averaged data for fix myat6
# TimeStep v_pressure
0 1.52493
200 1.22734
400 1.23533
600 1.21919
800 1.11619
1000 1.11872
1200 1.19723
1400 1.00152
1600 1.00018
1800 1.09782
2000 1.06879
2200 1.07404
2400 0.999296
2600 0.928555
2800 1.07931
3000 0.943667
3200 0.921315
3400 0.959559
3600 0.955783
3800 1.01457
4000 0.997871
4200 1.10047
4400 1.00874
4600 1.00127
4800 0.965453
5000 0.973639
5200 0.955931
5400 1.00749
5600 1.04855
5800 0.932871
6000 1.05825
6200 0.947222
6400 1.18912
6600 0.948732
6800 1.02156
7000 0.968459
7200 0.980459
7400 1.00248
7600 1.00025
7800 0.968772
8000 1.04546
8200 0.935329
8400 1.026
8600 1.05085
8800 0.935963
9000 0.99549
9200 0.993409
9400 1.23532
9600 0.945206
9800 1.06954
10000 0.958493
10200 1.03804
10400 0.961718
10600 0.968696
10800 1.0269
11000 0.984259
11200 1.01156
11400 0.995001
11600 1.0512
11800 1.04529
12000 0.964024
12200 0.92116
12400 0.937467
12600 0.926192
12800 0.950795
13000 0.977036
13200 0.972316
13400 1.03141
13600 0.934528
13800 1.03727
14000 1.10674
14200 1.00914
14400 0.958415
14600 1.03003
14800 0.946218
15000 0.95272
15200 0.965101
15400 0.987229
15600 0.962127
15800 0.975666
16000 0.985194
16200 0.998263
16400 0.99209
16600 0.979255
16800 1.01544
17000 0.910975
17200 0.958539
17400 1.04499
17600 0.999474
17800 0.982803
18000 1.02589
18200 0.927503
18400 0.926009
18600 1.01523
18800 0.980889
19000 1.09647
19200 1.05006
19400 1.02509
19600 0.947888
19800 1.00379
20000 0.990186
