# Time-averaged data for fix myat8
# TimeStep v_volume
0 216000
200 231541
400 247326
600 257982
800 269287
1000 278201
1200 285742
1400 291221
1600 296116
1800 298742
2000 300408
2200 303026
2400 306323
2600 307537
2800 307071
3000 307754
3200 309658
3400 314615
3600 311742
3800 313970
4000 313314
4200 314748
4400 315867
4600 318651
4800 319394
5000 319283
5200 319384
5400 319337
5600 319606
5800 319899
6000 319126
6200 318550
6400 321391
6600 319581
6800 319670
7000 318786
7200 318767
7400 317486
7600 317106
7800 320534
8000 321453
8200 320271
8400 322251
8600 321059
8800 318659
9000 317063
9200 315420
9400 318838
9600 318858
9800 320417
10000 316970
10200 316311
10400 315391
10600 314135
10800 314808
11000 315740
11200 316189
11400 315849
11600 317515
11800 317376
12000 320578
12200 320955
12400 322114
12600 321267
12800 320962
13000 322981
13200 322147
13400 322328
13600 320198
13800 322505
14000 320252
14200 320871
14400 320839
14600 321460
14800 323398
15000 319780
15200 320165
15400 317854
15600 318492
15800 319792
16000 319203
16200 320650
16400 323241
16600 322720
16800 324887
17000 325274
17200 321510
17400 322280
17600 322361
17800 322384
18000 324433
18200 323378
18400 323784
18600 320509
18800 322116
19000 321677
19200 322240
19400 323606
19600 321746
19800 321995
20000 321031
