# Time-averaged data for fix myat3
# TimeStep v_Etot
0 21.0772
200 21.5712
400 21.7846
600 21.8049
800 21.82
1000 21.8216
1200 21.806
1400 21.8372
1600 21.8872
1800 21.8444
2000 21.8258
2200 21.882
2400 21.8226
2600 21.8944
2800 21.8999
3000 21.9056
3200 21.908
3400 21.8779
3600 21.8784
3800 21.8415
4000 21.8912
4200 21.9044
4400 21.9024
4600 21.8309
4800 21.8621
5000 21.8696
5200 21.8257
5400 21.879
5600 21.8977
5800 21.883
6000 21.8227
6200 21.7998
6400 21.7576
6600 21.8325
6800 21.8621
7000 21.8854
7200 21.9011
7400 21.9059
7600 21.9056
7800 21.904
8000 21.8972
8200 21.8961
8400 21.9062
8600 21.9066
8800 21.8967
9000 21.8569
9200 21.8586
9400 21.874
9600 21.8934
9800 21.8116
10000 21.8245
10200 21.88
10400 21.8642
10600 21.8869
10800 21.9035
11000 21.8491
11200 21.7669
11400 21.8108
11600 21.8857
11800 21.9057
12000 21.9079
12200 21.9082
12400 21.9057
12600 21.8966
12800 21.8611
13000 21.8351
13200 21.8261
13400 21.8543
13600 21.8877
13800 21.9026
14000 21.8791
14200 21.809
14400 21.8184
14600 21.7821
14800 21.8655
15000 21.895
15200 21.9062
15400 21.9026
15600 21.8628
15800 21.8714
16000 21.8991
16200 21.8983
16400 21.8385
16600 21.8741
16800 21.8146
17000 21.8366
17200 21.8872
17400 21.8968
17600 21.9148
17800 21.8716
18000 21.8592
18200 21.838
18400 21.8727
18600 21.8243
18800 21.8564
19000 21.8962
19200 21.8991
19400 21.8923
19600 21.8927
19800 21.8629
20000 21.8961
