# Time-averaged data for fix myat9
# TimeStep v_density
0 0.000384393
200 0.000234739
400 0.000177247
600 0.00014725
800 0.000129411
1000 0.000117819
1200 0.00010974
1400 0.000103642
1600 9.92177e-05
1800 9.58895e-05
2000 9.3017e-05
2200 9.10687e-05
2400 8.93616e-05
2600 8.77814e-05
2800 8.68754e-05
3000 8.61368e-05
3200 8.55339e-05
3400 8.50758e-05
3600 8.47424e-05
3800 8.44695e-05
4000 8.42314e-05
4200 8.39971e-05
4400 8.38066e-05
4600 8.36933e-05
4800 8.36546e-05
5000 8.35845e-05
5200 8.34755e-05
5400 8.3314e-05
5600 8.32616e-05
5800 8.32365e-05
6000 8.32437e-05
6200 8.33166e-05
6400 8.32831e-05
6600 8.33827e-05
6800 8.33915e-05
7000 8.33579e-05
7200 8.32944e-05
7400 8.32304e-05
7600 8.31774e-05
7800 8.31363e-05
8000 8.31187e-05
8200 8.31033e-05
8400 8.30757e-05
8600 8.30483e-05
8800 8.30381e-05
9000 8.28521e-05
9200 8.29216e-05
9400 8.28331e-05
9600 8.28744e-05
9800 8.2972e-05
10000 8.28984e-05
10200 8.29693e-05
10400 8.28449e-05
10600 8.28942e-05
10800 8.29062e-05
11000 8.29412e-05
11200 8.24406e-05
11400 8.249e-05
11600 8.26255e-05
11800 8.26834e-05
12000 8.27245e-05
12200 8.27585e-05
12400 8.27899e-05
12600 8.28306e-05
12800 8.291e-05
13000 8.25057e-05
13200 8.27092e-05
13400 8.28553e-05
13600 8.29192e-05
13800 8.293e-05
14000 8.29622e-05
14200 8.30654e-05
14400 8.31839e-05
14600 8.28232e-05
14800 8.28495e-05
15000 8.2895e-05
15200 8.29024e-05
15400 8.29116e-05
15600 8.28386e-05
15800 8.28433e-05
16000 8.28772e-05
16200 8.2899e-05
16400 8.29648e-05
16600 8.30206e-05
16800 8.3075e-05
17000 8.31273e-05
17200 8.31372e-05
17400 8.31172e-05
17600 8.28099e-05
17800 8.2813e-05
18000 8.25557e-05
18200 8.25216e-05
18400 8.26639e-05
18600 8.27565e-05
18800 8.28516e-05
19000 8.28906e-05
19200 8.29103e-05
19400 8.29421e-05
19600 8.29664e-05
19800 8.27824e-05
20000 8.28365e-05
