# Time-averaged data for fix myat6
# TimeStep v_pressure
0 4.616
200 2.7608
400 2.11637
600 1.76414
800 1.54368
1000 1.40697
1200 1.31519
1400 1.24253
1600 1.19444
1800 1.14817
2000 1.11502
2200 1.09411
2400 1.10523
2600 1.05741
2800 1.04678
3000 1.03874
3200 1.03158
3400 1.0214
3600 1.01973
3800 1.01191
4000 1.01491
4200 1.01276
4400 1.00939
4600 1.00315
4800 1.00445
5000 1.00051
5200 1.11678
5400 1.00296
5600 1.00284
5800 0.999566
6000 1.00444
6200 0.99107
6400 0.989009
6600 0.998243
6800 1.00061
7000 1.00322
7200 1.00404
7400 1.00351
7600 1.00289
7800 1.00182
8000 1.00122
8200 1.00086
8400 1.0019
8600 1.00138
8800 0.998632
9000 0.993748
9200 1.00311
9400 0.996708
9600 0.997157
9800 0.991616
10000 0.997288
10200 0.998579
10400 1.02145
10600 0.998644
10800 0.999305
11000 1.01648
11200 0.995803
11400 0.98769
11600 0.995412
11800 0.997194
12000 0.997728
12200 0.99811
12400 0.998004
12600 0.996836
12800 0.993202
13000 0.990178
13200 0.987549
13400 0.992808
13600 0.998618
13800 0.999595
14000 0.994194
14200 0.991635
14400 0.990404
14600 1.09372
14800 0.995657
15000 0.998974
15200 0.999752
15400 0.998661
15600 1.06798
15800 0.996322
16000 0.998833
16200 0.997509
16400 0.993869
16600 0.996345
16800 1.00681
17000 0.996453
17200 1.00112
17400 1.00093
17600 1.02003
17800 1.16043
18000 0.989056
18200 0.987724
18400 0.992084
18600 1.00683
18800 0.99536
19000 0.998856
19200 0.998387
19400 0.998249
19600 0.997919
19800 0.993699
20000 0.998305
