# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -0.831764
200 -0.170216
400 -0.107622
600 -0.107566
800 -0.100273
1000 -0.0749144
1200 -0.167176
1400 -0.0328895
1600 -0.010704
1800 -0.178792
2000 -0.0273908
2200 -0.0338422
2400 -0.095818
2600 -0.00749336
2800 -0.00744076
3000 -0.00109099
3200 -0.00107688
3400 -0.0779923
3600 -0.0112172
3800 -0.068814
4000 -0.00302924
4200 -0.00232247
4400 -0.0133968
4600 -0.106549
4800 -0.027133
5000 -0.0737815
5200 0.159347
5400 -0.00674255
5600 -0.0107269
5800 -0.0430977
6000 -0.114682
6200 -0.120045
6400 -0.143234
6600 -0.0470186
6800 -0.0362323
7000 -0.0130133
7200 -0.00341335
7400 -0.00316577
7600 -0.00280349
7800 -0.00837886
8000 -0.00920484
8200 -0.0107775
8400 -0.000469072
8600 -0.00279325
8800 -0.0296299
9000 -0.0417406
9200 -0.104745
9400 -0.00935986
9600 -0.0199485
9800 -0.143762
10000 -0.108703
10200 -0.00985005
10400 -0.0758974
10600 -0.00257435
10800 -0.00525829
11000 -0.112789
11200 -0.282102
11400 -0.0903005
11600 -0.00191587
11800 0
12000 -0.000662924
12200 -0.00113062
12400 -0.00530692
12600 -0.0206207
12800 -0.0799956
13000 -0.104434
13200 -0.0861027
13400 -0.0504422
13600 -0.00660019
13800 -0.00475856
14000 -0.0765944
14200 -0.0831628
14400 -0.135919
14600 0.103483
14800 -0.019477
15000 -0.00309799
15200 -0.00116548
15400 -0.0128081
15600 0.0379137
15800 -0.0138107
16000 -0.00435103
16200 -0.0225477
16400 -0.0471546
16600 -0.0422913
16800 -0.117207
17000 -0.0372081
17200 -0.00777763
17400 -0.0120423
17600 -0.0878512
17800 0.319224
18000 -0.0611886
18200 -0.0662351
18400 -0.0396097
18600 -0.100379
18800 -0.0188849
19000 -0.00439999
19200 -0.0138955
19400 -0.0162758
19600 -0.0242875
19800 -0.0346424
20000 -0.00325295
