# Time-averaged data for fix myat8
# TimeStep v_volume
0 216000
200 353708
400 468435
600 563865
800 641592
1000 704714
1200 756597
1400 801110
1600 836836
1800 865881
2000 892620
2200 911717
2400 929134
2600 945859
2800 955724
3000 963919
3200 970714
3400 975940
3600 979780
3800 982946
4000 985724
4200 988474
4400 990721
4600 992062
4800 992521
5000 993352
5200 994650
5400 996578
5600 997205
5800 997506
6000 997419
6200 996547
6400 996948
6600 995757
6800 995651
7000 996053
7200 996812
7400 997579
7600 998214
7800 998709
8000 998920
8200 999104
8400 999437
8600 999767
8800 999889
9000 1.00213e+06
9200 1.00129e+06
9400 1.00236e+06
9600 1.00186e+06
9800 1.00069e+06
10000 1.00157e+06
10200 1.00072e+06
10400 1.00222e+06
10600 1.00162e+06
10800 1.00148e+06
11000 1.00106e+06
11200 1.00714e+06
11400 1.00653e+06
11600 1.00488e+06
11800 1.00418e+06
12000 1.00368e+06
12200 1.00327e+06
12400 1.00289e+06
12600 1.00239e+06
12800 1.00143e+06
13000 1.00634e+06
13200 1.00386e+06
13400 1.00209e+06
13600 1.00132e+06
13800 1.00119e+06
14000 1.0008e+06
14200 999560
14400 998137
14600 1.00248e+06
14800 1.00217e+06
15000 1.00162e+06
15200 1.00153e+06
15400 1.00141e+06
15600 1.0023e+06
15800 1.00224e+06
16000 1.00183e+06
16200 1.00157e+06
16400 1.00077e+06
16600 1.0001e+06
16800 999445
17000 998817
17200 998697
17400 998938
17600 1.00264e+06
17800 1.00261e+06
18000 1.00573e+06
18200 1.00615e+06
18400 1.00442e+06
18600 1.00329e+06
18800 1.00214e+06
19000 1.00167e+06
19200 1.00143e+06
19400 1.00105e+06
19600 1.00075e+06
19800 1.00298e+06
20000 1.00232e+06
