# Time-averaged data for fix myat7
# TimeStep v_temperature
0 100.644
200 96.611
400 96.8641
600 98.0323
800 104.55
1000 97.3056
1200 100.284
1400 100.077
1600 101.685
1800 102.43
2000 100.565
2200 103.071
2400 100.034
2600 102.268
2800 105.454
3000 101.982
3200 103.326
3400 99.9727
3600 97.7128
3800 100.553
4000 100.509
4200 100.005
4400 105.785
4600 102.447
4800 104.353
5000 104.044
5200 101.09
5400 100.518
5600 97.8858
5800 99.9446
6000 102.154
6200 103.405
6400 100.43
6600 102.672
6800 100.711
7000 100.196
7200 97.8573
7400 102.548
7600 99.6689
7800 101.615
8000 100.852
8200 99.6285
8400 103.114
8600 100.898
8800 97.6246
9000 98.8539
9200 100.147
9400 100.224
9600 100.723
9800 99.1443
10000 102.024
10200 99.1709
10400 103.189
10600 98.1393
10800 100.177
11000 103.352
11200 103.827
11400 101.074
11600 99.718
11800 103.032
12000 95.7985
12200 103.827
12400 100.503
12600 101.823
12800 102.447
13000 102.334
13200 96.5303
13400 99.4351
13600 101.97
13800 99.9953
14000 102.618
14200 96.7559
14400 97.608
14600 100.939
14800 101.493
15000 100.253
15200 101.867
15400 101.396
15600 103.908
15800 102.584
16000 100.073
16200 99.4844
16400 103.62
16600 101.374
16800 101.353
17000 102.981
17200 98.9741
17400 101.1
17600 100.87
17800 99.3719
18000 97.4323
18200 101.321
18400 99.9097
18600 96.1711
18800 102.315
19000 102.842
19200 102.153
19400 99.5459
19600 103.942
19800 103.369
20000 97.6056
