# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 14.7
200 14.9087
400 15.5077
600 12.7532
800 13.7698
1000 14.9556
1200 14.1716
1400 14.6427
1600 15.3324
1800 15.0244
2000 13.6348
2200 15.0022
2400 14.0391
2600 13.8725
2800 15.5551
3000 13.9429
3200 14.3684
3400 14.0101
3600 13.1208
3800 15.1799
4000 15.4234
4200 15.4455
4400 13.5743
4600 13.4664
4800 14.4695
5000 15.0042
5200 14.6154
5400 15.9296
5600 14.3768
5800 14.6963
6000 15.5743
6200 12.8234
6400 13.3756
6600 13.7938
6800 16.16
7000 13.8722
7200 15.7885
7400 15.3213
7600 15.5071
7800 14.8069
8000 15.7266
8200 14.3044
8400 14.1034
8600 15.0711
8800 15.4962
9000 14.3461
9200 13.5985
9400 15.0857
9600 15.1858
9800 15.0621
10000 14.5814
10200 13.2179
10400 15.5052
10600 14.8894
10800 13.6368
11000 14.038
11200 13.613
11400 13.2465
11600 15.0373
11800 15.2143
12000 16.1394
12200 14.4284
12400 15.0308
12600 15.0652
12800 15.9458
13000 14.6301
13200 14.7915
13400 14.9282
13600 16.1837
13800 13.6184
14000 14.3041
14200 15.325
14400 13.6716
14600 14.317
14800 14.7396
15000 14.4269
15200 13.5701
15400 13.7668
15600 15.0843
15800 14.9319
16000 14.6503
16200 14.3741
16400 15.2905
16600 16.2265
16800 13.2808
17000 14.006
17200 16.0736
17400 15.2831
17600 16.7657
17800 14.7969
18000 14.0251
18200 16.5189
18400 13.2421
18600 14.3233
18800 15.8183
19000 14.6459
19200 13.9717
19400 15.708
19600 14.2226
19800 14.3411
20000 14.9446
