# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 -6.1289
200 -2.85729
400 -3.31463
600 -3.52569
800 -3.15633
1000 -2.88233
1200 -2.26622
1400 -3.04562
1600 -2.99676
1800 -2.10913
2000 -2.68991
2200 -2.45533
2400 -3.06913
2600 -2.87414
2800 -1.53193
3000 -2.84173
3200 -2.9404
3400 -2.94844
3600 -2.68767
3800 -2.27944
4000 -3.31344
4200 -3.23509
4400 -2.63928
4600 -2.38886
4800 -3.36545
5000 -3.44013
5200 -2.98868
5400 -3.32819
5600 -2.62209
5800 -2.70613
6000 -1.74714
6200 -3.17734
6400 -2.54268
6600 -2.6555
6800 -2.75283
7000 -2.66767
7200 -2.46711
7400 -2.26664
7600 -2.62477
7800 -2.13266
8000 -2.93518
8200 -2.74348
8400 -3.0231
8600 -3.12882
8800 -3.44686
9000 -3.40828
9200 -2.91551
9400 -2.87089
9600 -2.91936
9800 -2.5512
10000 -2.62093
10200 -2.28731
10400 -2.84723
10600 -2.98782
10800 -3.00979
11000 -1.72764
11200 -2.54718
11400 -2.43905
11600 -3.24034
11800 -3.44256
12000 -2.97382
12200 -2.93644
12400 -2.99174
12600 -3.11673
12800 -3.15905
13000 -2.72373
13200 -2.72265
13400 -3.2326
13600 -2.39878
13800 -2.53884
14000 -3.08557
14200 -2.60738
14400 -2.25461
14600 -1.15841
14800 -3.07284
15000 -2.66784
15200 -2.89314
15400 -2.8797
15600 -2.77723
15800 -2.84266
16000 -2.99932
16200 -2.70893
16400 -2.84242
16600 -3.36515
16800 -3.38343
17000 -3.59939
17200 -3.43329
17400 -3.29759
17600 -3.44049
17800 -3.06454
18000 -3.28486
18200 -3.29923
18400 -3.03294
18600 -3.03349
18800 -2.78346
19000 -3.15585
19200 -3.70868
19400 -3.05366
19600 -2.55625
19800 -2.65988
20000 -2.96965
