# Time-averaged data for fix myat3
# TimeStep v_Etot
0 8.57111
200 10.6273
400 11.274
600 11.2705
800 11.536
1000 11.7709
1200 11.6449
1400 11.7653
1600 11.9565
1800 12.3279
2000 12.2805
2200 12.2277
2400 12.0743
2600 11.9682
2800 12.1357
3000 12.1093
3200 12.0514
3400 11.8385
3600 11.4213
3800 11.7144
4000 11.5628
4200 11.2876
4400 11.5384
4600 11.7229
4800 11.679
5000 11.5961
5200 11.6708
5400 11.6734
5600 11.5441
5800 11.8299
6000 12.3703
6200 12.0201
6400 11.9794
6600 12.2127
6800 12.129
7000 11.9491
7200 12.2174
7400 12.0264
7600 12.0556
7800 12.3518
8000 12.2598
8200 12.0875
8400 11.7528
8600 11.4991
8800 11.1524
9000 11.209
9200 11.7748
9400 11.7143
9600 11.5181
9800 11.7351
10000 11.8731
10200 11.9409
10400 12.1824
10600 12.0004
10800 11.833
11000 12.0774
11200 12.2906
11400 12.1871
11600 12.0674
11800 11.7952
12000 11.5988
12200 11.799
12400 11.6412
12600 11.5638
12800 11.6995
13000 11.9977
13200 11.865
13400 11.7001
13600 11.9646
13800 12.1334
14000 11.9792
14200 12.2789
14400 12.2834
14600 12.2463
14800 11.8659
15000 11.9668
15200 11.9665
15400 12.1611
15600 12.074
15800 11.738
16000 11.5613
16200 11.958
16400 12.0086
16600 11.5886
16800 11.394
17000 11.4861
17200 11.4409
17400 11.4512
17600 11.4098
17800 11.1647
18000 11.5883
18200 11.392
18400 11.5252
18600 11.5526
18800 11.7982
19000 11.7426
19200 11.2818
19400 11.572
19600 11.9005
19800 12.0967
20000 11.8759
