# Time-averaged data for fix myat7
# TimeStep v_temperature
0 100.644
200 108.89
400 103.503
600 109.261
800 103.864
1000 105.392
1200 110.955
1400 98.7658
1600 102.643
1800 103.94
2000 98.1743
2200 112.781
2400 101.841
2600 101.934
2800 98.2691
3000 100.407
3200 96.5849
3400 99.1511
3600 97.3116
3800 97.1372
4000 96.3023
4200 98.8853
4400 98.8922
4600 109.185
4800 111.596
5000 93.3789
5200 89.62
5400 103.208
5600 91.0391
5800 87.6769
6000 97.2457
6200 95.4268
6400 98.2857
6600 102.143
6800 97.8545
7000 96.4368
7200 102.9
7400 96.6215
7600 95.6961
7800 94.388
8000 103.318
8200 106.554
8400 94.1495
8600 107.699
8800 105.602
9000 105.095
9200 101.929
9400 100.75
9600 102.591
9800 100.168
10000 90.2689
10200 103.598
10400 96.4837
10600 93.2158
10800 100.941
11000 96.2847
11200 94.5023
11400 104.307
11600 99.9564
11800 107.455
12000 100.032
12200 83.5969
12400 99.7644
12600 99.8248
12800 100.8
13000 108.914
13200 107.178
13400 106.858
13600 103.887
13800 100.853
14000 104.759
14200 101.634
14400 105.572
14600 108.378
14800 89.6009
15000 104.617
15200 97.9437
15400 108.337
15600 95.2917
15800 96.4142
16000 90.6726
16200 105.994
16400 93.0477
16600 102.794
16800 104.617
17000 102.441
17200 99.948
17400 103.305
17600 106.52
17800 103.398
18000 101.486
18200 95.9314
18400 102.69
18600 92.8078
18800 97.7826
19000 108.733
19200 88.3011
19400 105.143
19600 110.752
19800 105.12
20000 97.5098
