# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 -28.3852
200 -26.6321
400 -24.7303
600 -25.8665
800 -25.4766
1000 -25.2401
1200 -25.691
1400 -23.3366
1600 -23.7604
1800 -24.7576
2000 -23.098
2200 -25.5958
2400 -24.1811
2600 -23.4955
2800 -22.8593
3000 -23.1496
3200 -23.1339
3400 -23.6159
3600 -23.5226
3800 -23.5821
4000 -23.4102
4200 -24.0546
4400 -24.0244
4600 -25.073
4800 -26.1348
5000 -23.2115
5200 -21.9926
5400 -23.947
5600 -22.6465
5800 -21.8752
6000 -22.9316
6200 -23.2589
6400 -23.9996
6600 -24.4433
6800 -23.1691
7000 -23.015
7200 -24.2442
7400 -23.3623
7600 -22.8205
7800 -23.2044
8000 -23.8417
8200 -24.7973
8400 -22.636
8600 -24.8609
8800 -24.6854
9000 -24.3292
9200 -24.2827
9400 -24.3847
9600 -25.1724
9800 -24.4861
10000 -22.7569
10200 -24.6167
10400 -23.5094
10600 -22.3391
10800 -24.0653
11000 -23.6401
11200 -23.0265
11400 -24.0753
11600 -23.6953
11800 -24.5931
12000 -23.4008
12200 -21.1081
12400 -22.8687
12600 -23.4604
12800 -23.9479
13000 -25.3551
13200 -25.2649
13400 -25.0617
13600 -24.4604
13800 -23.9415
14000 -24.6634
14200 -24.2025
14400 -24.897
14600 -24.7746
14800 -22.9536
15000 -24.8135
15200 -23.5878
15400 -24.9077
15600 -23.6636
15800 -23.2907
16000 -21.8008
16200 -24.4229
16400 -22.2749
16600 -24.0311
16800 -25.0872
17000 -24.8951
17200 -24.2534
17400 -24.6719
17600 -24.7194
17800 -23.4068
18000 -23.7921
18200 -23.0886
18400 -25.1053
18600 -23.2148
18800 -23.8175
19000 -24.8398
19200 -21.5268
19400 -24.7444
19600 -25.9015
19800 -24.7816
20000 -23.6683
