# Time-averaged data for fix myat6
# TimeStep v_pressure
0 1263.07
200 1456
400 1804.08
600 1585.22
800 1634.56
1000 1691.29
1200 1690.39
1400 2135.84
1600 2030.44
1800 1918.98
2000 2320.08
2200 1727.19
2400 1894.45
2600 2136.87
2800 2190.07
3000 2259.14
3200 2180.48
3400 2167.39
3600 2113.19
3800 2054.55
4000 2194.07
4200 2095.86
4400 2041.58
4600 1873.35
4800 1601.66
5000 2116.17
5200 2443.04
5400 1984.8
5600 2310.58
5800 2619.99
6000 2311.51
6200 2190.99
6400 2070.17
6600 1971.39
6800 2223.08
7000 2291.69
7200 2010.81
7400 2156.19
7600 2320.65
7800 2095.25
8000 2098.9
8200 1841.08
8400 2319.45
8600 1799.75
8800 1888.95
9000 1950.97
9200 1942.42
9400 1882.73
9600 1898.19
9800 1945.5
10000 2312.74
10200 1856.91
10400 2137.48
10600 2541.33
10800 2093.61
11000 1959.8
11200 2208.93
11400 2036.88
11600 2121.06
11800 1977.83
12000 2177.63
12200 2638.67
12400 2360.56
12600 2264.39
12800 2010.51
13000 1777.99
13200 1724.49
13400 1768.9
13600 1919.24
13800 2029.98
14000 1874.22
14200 1859.53
14400 1846.64
14600 1869.35
14800 2248.14
15000 1817.29
15200 2136.26
15400 1860.95
15600 2118.31
15800 2151.95
16000 2434.88
16200 2021.13
16400 2449.37
16600 1949.14
16800 1724.58
17000 1725.99
17200 2008.99
17400 1857.75
17600 1941.66
17800 2126.84
18000 2105.87
18200 2106.23
18400 1839.54
18600 2155.27
18800 2002.94
19000 1945.52
19200 2454.49
19400 1877.16
19600 1602.46
19800 1812.8
20000 2037.4
